First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Mick,Schumacher,M,2,Reserve,,Germany,19/10/1993,5; 6; 40; 65; 100; 216,0,0,65,3.24,2018,2016,0,,0,,0,0,13.5,13.5,13.5,13.5,13.8,12,15,10.75,13.5,0.92,25,11,,,,,,,,,,,28,90,90,55,4,95,88,90,0,5,7,0,0,0,0,8,0,9,7,3,90,5,8,1,41,1,1,0,100,3.306944444,SingleSeaterSeries; EnduranceSeries,
Nikita,Mazepin,M,,,,RussianFederation,02/03/1993,52; 43; 165; 286; 291,0,0,65,,,,,,,,,4,11.5,11.5,10.5,12.5,11.5,11.5,13.5,10.5,12.5,0.48,89,65,,,,,,,,,,,25,75,40,25,3,20,15,36,5,4,7,0,0,0,0,11,0,2,1,6,70,5,5,1,33,1,4,0,100,2.930555556,SingleSeaterSeries; EnduranceSeries,
Nyck,de Vries,M,8,Equal,,Netherlands,06/02/1989,92,0,0,65,6.9,2018,2016,0,,0,,0,0,14.5,14.5,14,13.5,14,12.5,15,13,13.5,0.91,16,,,,,,,,,,,,65,90,90,20,4,,,,4,5,7,0,0,6,0,6,0,0,6,2,70,5,5,5,29,1,1,100,100,3.458333333,SingleSeaterSeries; EnduranceSeries,
Liam,Lawson,M,8,Reserve,,NewZealand,11/02/1996,16; 42; 96,0,0,65,3.74,2016,2014,0,,0,,0,0,13,12.75,12,13,12.5,12,12.5,11,12.75,0.9,3,48,,,,,,,,,,,30,95,75,50,4,64,41,49,5,4,8,1,0,10,0,3,0,5,15,2,70,5,5,1,36,1,1,100,100,3.097222222,SingleSeaterSeries,
Jack,Aitken,M,4,Reserve,,UK,01/06/1989,16,0,0,67,2.79,2017,2013,0,,0,,0,0,12,12,12,10.5,12.5,11,13,12,11.5,0.6,36,14,,,,,,,,,,,55,85,80,3,4,19,36,5,3,4,9,1,0,0,0,6,0,7,4,5,50,5,7,2,31,1,3,0,100,2.958333333,SingleSeaterSeries; EnduranceSeries,
Antonio,Giovinazzi,M,5,Reserve,,Italy,21/08/1987,16; 42; 91,0,0,68,4.4,2017,2016,0.05,10,0.25,3,0,0,13.5,13.5,13.5,13,14,13.5,17.5,13,13,0.46,42,99,23,0,0,0,0,0,0,14,0,n/a,45,90,80,10,4,85,70,72,2,0,4,0,0,0,0,5,0,1,3,8,70,5,5,1,32,1,1,0,100,3.458333333,SingleSeaterSeries; EnduranceSeries,
Stoffel,Vandoorne,M,7,Reserve,,Belgium,26/03/1986,42; 91,0,0,68,3.96,2017,2016,0,,0,,0,0,14,14,13.5,12.5,14,11.5,14.5,14.5,13.25,0.91,16,,,,,,,,,,,,65,90,90,5,3,,,,4,5,7,0,0,6,0,6,0,0,6,2,60,5,5,4,30,1,1,100,100,3.381944444,EnduranceSeries; SingleSeaterSeries,
Nico,Hulkenberg,M,11,Equal,,Germany,30/01/1981,44,0,0,68,3.98,2017,2014,0,,0,,0,0,14.5,14.5,15,13.5,15,13,15,18,15,0.51,46,4,0,0,0,0,0,0,0,0,0,n/a,90,75,85,5,4,67,80,98,2,0,4,1,0,0,0,9,0,4,1,1,65,5,5,2,32,2,1,0,100,3.708333333,EnduranceSeries; SingleSeaterSeries,
Sergio,Sette Camara,M,53,Equal,1,Brazil,23/05/1992,16; 91,0,0,65,2.9,2019,2016,0,,0,,0,0,10,10,9.5,9,10.5,9,11.5,9.5,11,0.93,94,16,0,0,0,0,0,0,0,0,0,n/a,10,80,80,12,3,80,75,75,4,1,9,0,0,0,0,11,0,0,6,6,50,5,5,2,31,1,5,0,100,2.5,EnduranceSeries; SingleSeaterSeries,
Oscar,Piastri,M,6,Equal,,Australia,06/04/1995,5; 16; 65; 109; 216; 276,0,0,64,6.28,2017,2016,0,,0,,0,0,13,13,13,13.75,14.5,12.5,15,11,13.95,0.7,37,14,,,,,,,,,,,25,95,75,65,4,61,17,56,0,2,9,0,0,0,0,16,0,6,10,6,80,5,5,1,34,1,2,0,100,3.325,SingleSeaterSeries,
Robert,Kubica,M,,,,Poland,25/04/1978,7; 16; 42; 67; 235,0,0,68,,,,,,,,,0,11.5,11.5,12.25,10.75,12.5,10.5,11.5,16,11.75,0.41,3,19,97,1,15,1,10,2,0,274,0,9;5;7;4;7,95,75,95,5,5,80,99,85,3,4,7,0,0,1,0,16,0,3,6,0,100,5,8,3,30,1,4,0,100,3.006944444,EnduranceSeries; SingleSeaterSeries,
Pietro,Fittipaldi,M,11,Reserve,,Brazil,11/08/1990,16; 40; 42,0,0,66,1.57,2017,2012,0,,0,,0,0,11.5,12,11.5,12.5,12,11,13.5,9,12.5,0.4,72,70,0,0,0,0,0,0,0,0,0,n/a,35,75,75,25,4,85,72,74,1,4,0,4,0,9,0,6,0,0,7,0,70,5,5,2,33,1,5,0,100,2.930555556,Any,
Dennis,Hauger,M,21,Equal,,Norway,17/03/1997,5; 16; 65; 96; 277,0,0,64,2.25,2018,2016,0,,0,,0,0,9.75,9.75,9.5,10.25,10,8.25,10.25,8,10.5,0.88,21,56,,,,,,,,,,,15,85,70,75,4,56,7,98,3,0,6,0,0,2,0,3,0,8,2,0,68,5,10,4,31,1,1,0,100,2.395833333,SingleSeaterSeries,
Jehan,Daruvala,M,21,Equal,,India,01/10/1992,16; 42; 96,0,0,65,1.74,2017,2016,0,,0,,0,0,8.95,8.95,8.5,9.5,9,7.85,10.25,7,9.5,0.59,11,21,,,,,,,,,,,25,85,75,35,3,4,49,45,0,2,3,0,0,1,0,10,0,0,9,4,60,5,5,4,31,1,6,0,100,2.208333333,SingleSeaterSeries; EnduranceSeries,
Theo,Pourchaire,M,13,Equal,,France,20/08/1997,5; 16; 65; 93,0,0,64,2.36,2017,2016,0,,0,,0,0,12.5,12.5,12.5,11.5,12.5,10.5,13.5,14.5,12.5,0.6,66,50,,,,,,,,,,,15,95,75,95,4,17,7,98,2,1,7,0,0,0,0,4,0,5,2,3,85,5,20,2,29,1,1,0,100,3.125,SingleSeaterSeries; EnduranceSeries,
Frederik,Vesti,M,12,Equal,,Denmark,13/01/1996,16; 42; 103,0,0,64,2.81,2018,2016,0,,0,,0,4,12,12,12,12.85,12.25,12,13.5,10.5,12.75,0.6,3,74,,,,,,,,,,,18,95,70,70,4,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,60,5,15,1,32,1,1,0,100,3.051388889,SingleSeaterSeries; EnduranceSeries,
Ayumu,Iwasa,M,14,Equal,,Japan,22/09/1995,5; 65; 95; 216,0,0,63,3.55,2018,2016,0,,0,,0,0,10,4.01,2.31,17.4,14.27,9.13,12.91,19.18,9.3,0.75,19,56,,,,,,,,,,,10,90,70,70,4,82,98,87,1,1,1,1,0,2,0,0,0,3,5,5,50,5,10,6,30,1,1,0,100,2.736388889,SingleSeaterSeries,
Roy,Nissany,M,15,Equal,,Israel,30/11/1988,165,0,0,68,2.53,2017,2016,0,,0,,0,3,7.75,7.8,8,8.5,8,6.5,8.5,6.5,8.25,0.42,36,14,,,,,,,,,,,30,75,75,2,3,88,70,70,3,4,9,1,0,0,0,6,0,7,4,5,70,5,5,6,31,1,3,0,100,1.938888889,SingleSeaterSeries; EnduranceSeries,
Enzo,Fittipaldi,M,17,Equal,,Brazil,19/01/1998,16; 40; 101,0,0,65,0.99,2017,2016,0,,0,,0,0,10,10,9.5,10.5,9.75,9,11,9,10.25,0.42,91,48,,,,,,,,,,,20,75,80,50,4,26,71,93,5,3,8,0,0,4,0,3,0,1,7,2,70,4,5,1,35,2,3,0,100,2.472222222,Any,
Cem,Bolukbasi,M,15,Reserve,,Turkey,09/02/1992,65; 165,0,0,65,0.28,2018,2016,0,,0,,0,2,7.5,7,7,7,7.75,6,9,7,7.5,0.9,76,100,,,,,,,,,,,23,80,65,35,3,96,86,82,1,5,3,0,0,0,0,13,0,5,8,1,50,5,5,2,29,1,5,0,100,1.826388889,SingleSeaterSeries; EnduranceSeries,
Jake,Hughes,M,,,,UK,30/05/1988,5; 16; 42,0,0,66,,,,,,,,,0,9.25,9.25,9.25,8.5,11.5,8,10.25,10,9.5,0.9,19,56,,,,,,,,,,,45,85,80,5,4,82,98,87,1,1,1,1,0,2,0,0,0,3,5,5,50,5,5,1,32,1,1,0,100,2.375,EnduranceSeries; SingleSeaterSeries,
Amaury,Cordeel,M,18,Equal,,Belgium,09/07/1996,216,0,0,65,1.22,2018,2016,0,,0,,0,0,7.5,7.5,7.5,8.5,8,6.5,9,6,8.5,0.42,77,29,,,,,,,,,,,15,95,90,35,3,98,17,84,4,0,5,1,0,0,0,0,0,7,6,2,55,5,5,1,29,1,10,0,100,1.916666667,EnduranceSeries; SingleSeaterSeries,
Logan,Sargeant,M,4,Equal,,UnitedStates,31/12/1994,16,0,0,65,3,2018,2016,0,,0,,0,0,9.5,9.5,9.5,9,10,8.75,10,8.5,9.5,0.64,30,58,19,0,0,0,5,3,0,4,0,n/a,30,80,75,45,3,75,65,65,5,2,8,0,0,0,0,6,0,6,9,2,60,5,8,4,36,1,1,0,100,2.340277778,SingleSeaterSeries; GTSeries,
Alex,Peroni,M,51,Equal,,Australia,27/11/1993,16,0,0,64,3.18,2018,2015,0,,0,,0,0,8.5,8,8,8.5,8,7,8.8,5.5,7.8,0.83,16,,,,,,,,,,,,10,75,80,35,3,,,,1,5,6,0,1,6,0,4,0,0,4,2,40,5,5,1,30,1,1,0,100,1.947222222,EnduranceSeries; GTSeries,
Jack,Doohan,M,18,Equal,,Australia,17/01/1995,5; 40; 65; 97,0,0,64,2.56,2018,2016,0,,0,,0,0,10,10,10.5,10.75,11,9,11,9.75,11,0.44,49,79,,,,,,,,,,,10,75,70,75,3,83,40,20,1,2,7,0,0,0,0,5,0,5,9,7,70,5,10,2,34,1,1,0,100,2.583333333,SingleSeaterSeries,
Marino,Sato,M,18,Reserve,,Japan,12/05/1993,5; 65; 93,0,0,65,0.76,2017,2015,0,,0,,0,0,7.5,8,6.5,8.5,7.5,6.5,8.5,4.5,8,0.67,44,32,,,,,,,,,,,25,80,75,25,3,24,62,77,5,5,7,0,0,5,0,15,0,9,4,6,50,5,5,1,33,1,1,0,100,1.819444444,EnduranceSeries; SingleSeaterSeries,
Ralph,Boschung,M,19,Equal,,Switzerland,23/09/1991,16; 165,0,0,67,2.89,2017,2016,0,,0,,0,1,8.5,8.5,8,8,8.5,7.5,9,6.5,8,0.55,36,14,,,,,,,,,,,40,75,80,5,3,19,36,5,3,4,9,1,0,0,0,6,0,7,4,5,50,5,5,3,32,1,3,0,100,2.013888889,EnduranceSeries; SingleSeaterSeries,
Olli,Caldwell,M,19,Reserve,,UK,11/06/1996,16; 42,0,0,64,0.69,2017,2016,0,,0,,0,0,7.5,7.5,7.5,7,7,6,8.5,6.5,7.75,0.54,24,99,,,,,,,,,,,5,90,75,45,3,66,100,84,0,4,5,1,0,0,0,10,0,0,8,7,50,5,8,1,33,1,4,0,100,1.8125,SingleSeaterSeries; EnduranceSeries,
Teppei,Natori,M,12,Reserve,,Japan,11/09/1994,16; 93; 136,0,0,65,0.87,2017,2015,0,,0,,0,0,7.5,7,6.5,7,7,6.5,8.5,6.5,8.25,0.9,44,32,,,,,,,,,,,22,80,75,30,4,24,62,77,5,5,7,0,0,5,0,15,0,9,4,6,65,5,5,4,29,1,1,0,100,1.798611111,EnduranceSeries; SingleSeaterSeries,
Calan,Williams,M,,,,Australia,30/06/1994,16; 216,0,0,64,,,,,,,,,0,6.5,6.5,7,6.75,7.5,6,8,6.5,7.75,0.52,91,48,,,,,,,,,,,15,75,80,25,3,26,71,93,5,3,8,0,0,4,0,3,0,1,7,2,50,5,5,2,32,1,3,0,100,1.736111111,SingleSeaterSeries; EnduranceSeries,
Felipe,Drugovich,M,6,Reserve,,Brazil,23/05/1994,65; 93; 165,0,0,65,3.25,2018,2016,0,,0,,0,3,11.75,11.75,12.5,11.25,11.5,8.5,12.5,9.5,11.75,0.9,66,50,,,,,,,,,,,25,80,75,25,4,17,7,98,2,1,7,0,0,0,0,4,0,5,2,3,65,5,10,2,31,1,1,0,100,2.805555556,Any,
Clement,Novalak,M,20,Equal,,France,23/12/1994,5; 16; 216,0,0,64,3.94,2018,2016,0,,0,,0,0,8.5,8.5,7,8.5,8,7,9,6,8,0.72,6,41,,,,,,,,,,,15,95,80,55,4,100,95,60,4,2,4,0,0,0,0,7,0,1,0,9,72,5,30,3,46,1,10,0,100,1.958333333,SingleSeaterSeries; EnduranceSeries,
Marcus,Armstrong,M,,,,NewZealand,23/02/1994,5; 16; 65; 101; 216,0,0,65,,,,,,,,,0,10,10.5,10.5,11.75,11.8,9.5,12.5,10.5,12,0.82,21,44,,,,,,,,,,,35,95,60,30,3,90,73,74,2,0,8,0,0,6,0,15,0,9,3,3,65,5,8,1,36,1,6,0,100,2.751388889,Any,
Juri,Vips,M,62,Equal,2,Estonia,10/08/1994,5; 16; 65; 96,0,0,66,0.88,2019,2016,0,,0,,0,0,11.5,11.5,10.5,12,11.5,11.5,12.5,10.5,12,0.48,89,65,,,,,,,,,,,25,80,75,60,4,20,15,36,5,4,7,0,0,0,0,11,0,2,1,6,75,5,15,5,36,1,4,0,100,2.875,SingleSeaterSeries; EnduranceSeries,
Gregoire,Saucy,M,23,Equal,,Switzerland,26/12/1993,228,0,0,64,0.95,2018,2016,0,,0,,0,4,11.99,10.7,6.42,12.96,10,10.8,15.01,8.86,9.37,0.79,3,74,,,,,,,,,,,10,95,70,55,3,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,60,5,10,3,31,1,1,0,100,2.669722222,SingleSeaterSeries; EnduranceSeries,
Caio,Collet,M,31,Equal,,Brazil,03/04/1996,5; 16; 65; 109; 165,0,0,63,0.94,2018,2016,0,,0,,0,2,5.59,12.17,11.94,15.56,4.13,9.6,16.07,10.5,10.65,0.77,66,50,,,,,,,,,,,18,95,70,85,3,17,7,98,2,1,7,0,0,0,0,4,0,5,2,3,70,5,15,3,29,1,1,0,100,2.6725,Any,
Arthur,Leclerc,M,14,Equal,,Monaco,14/10/1994,5; 40; 100,0,0,62,2.78,2018,2016,0,,0,,0,0,8.5,8.5,8,9.5,8.75,7.5,9.5,6.85,9,0.91,45,4,,,,,,,,,,,15,95,75,65,4,66,63,53,2,5,2,0,0,0,0,16,0,6,7,7,70,5,20,1,29,1,1,0,100,2.113888889,SingleSeaterSeries,
Oliver,Bearman,M,12,Equal,,UK,08/05/1999,5; 16; 65; 99; 134,0,0,63,2.78,2018,2016,0,,0,,0,0,10.5,10.5,10,11.5,10.75,7.5,10.75,8.5,10.25,0.63,99,83,,,,,,,,,,,10,95,70,95,4,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,72,5,15,1,33,1,1,0,100,2.506944444,SingleSeaterSeries,
Cameron,Das,M,,,,UnitedStates,17/03/1994,5; 65; 145,0,0,64,,,,,,,,,0,7,7,7,7.5,7,6.5,7.5,5,7.5,0.55,45,56,,,,,,,,,,,15,95,70,45,3,9,48,29,0,4,9,0,0,0,0,6,0,6,9,1,60,5,8,3,36,1,1,0,100,1.722222222,GTSeries; SingleSeaterSeries,
Enzo,Trulli,M,,,,Italy,15/04/1999,16; 40,0,0,63,,,,,,,,,0,7,6.5,6.5,7,6.75,7,8.5,5.5,7,0.88,99,83,,,,,,,,,,,5,95,70,85,3,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,60,5,10,2,37,1,1,0,100,1.715277778,SingleSeaterSeries; EnduranceSeries,
Louis,Foster,M,,,,UK,27/07/1997,5; 16; 216,0,0,64,,,,,,,,,0,8,8,7.5,7.5,7.5,6.75,8,6.5,8.8,0.74,84,79,,,,,,,,,,,8,85,90,75,4,93,8,95,1,0,9,1,0,0,0,7,0,4,2,4,55,5,10,1,35,1,1,0,100,1.904166667,SingleSeaterSeries; EnduranceSeries,
Aleksandr,Smolyar,M,,,,RussianFederation,19/07/1995,165,0,0,63,,,,,,,,,2,7,7,7,7.5,7,6.5,8.5,5.5,7.5,0.72,85,2,,,,,,,,,,,10,90,70,45,4,11,48,39,1,3,4,3,0,0,0,15,0,9,2,3,60,5,5,4,33,1,1,0,100,1.763888889,SingleSeaterSeries; EnduranceSeries,
Johnny,Edgar,M,,,,UK,13/02/1998,5; 42; 96,0,0,63,,,,,,,,,0,7.5,7.5,7,8.5,8,7.5,9,6.5,9,0.59,49,79,,,,,,,,,,,5,75,70,75,3,83,40,20,1,2,7,0,0,0,0,5,0,5,9,7,55,5,8,2,29,1,1,0,100,1.958333333,SingleSeaterSeries; EnduranceSeries,
Ido,Cohen,M,27,Reserve,,Israel,16/08/1995,165,0,0,63,1.08,2018,2015,0,,0,,0,0,7.5,7.5,7.5,8.25,7.5,6,8.25,5,8,0.5,45,56,,,,,,,,,,,8,95,70,25,3,9,48,29,0,4,9,0,0,0,0,6,0,6,9,1,35,5,5,4,32,1,1,0,100,1.819444444,Any,
Roman,Stanek,M,20,Equal,,CzechRepublic,25/02/1998,5; 65; 98,0,0,63,2.08,2018,2015,0,,0,,0,0,8.5,8.5,8,7,7.5,6.5,9.5,8,7.5,0.92,99,83,,,,,,,,,,,15,95,70,65,3,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,60,5,10,2,31,1,1,0,100,1.972222222,SingleSeaterSeries; EnduranceSeries,
Jak,Crawford,M,22,Equal,,UnitedStates,05/02/1999,65; 96,0,0,63,1.24,2018,2016,0,,0,,,0,8.75,8.75,8.5,9,9.5,7.5,10.25,7.5,9.5,0.59,21,56,,,,,,,,,,,10,85,70,85,4,56,7,98,3,0,6,0,0,2,0,3,0,8,2,0,60,5,10,2,30,1,1,0,100,2.201388889,Any,
Bent,Viscaal,M,,,,Netherlands,18/09/1993,16; 42,0,0,64,,,,,,,,,0,9.5,9.5,9.5,10.5,9.75,8.5,9.85,8.75,8.85,0.47,94,98,,,,,,,,,,,20,90,90,55,4,68,89,42,1,5,5,0,0,0,0,12,0,0,10,1,55,5,5,3,32,1,2,0,100,2.352777778,Any,
Filip,Ugran,M,,,,Romania,12/09/1996,43,0,0,68,,,,,,,,,0,6.5,6,6.5,6,6.5,5,7.5,5.5,6.5,0.92,91,47,,,,,,,,,,,8,90,70,20,3,89,34,53,1,1,7,0,0,0,0,13,0,4,0,8,35,5,5,1,33,1,1,0,100,1.555555556,Any,
