Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Engine,20,590,,,,,,85,85,2,10
Engine,21,660,,,,,,85,85,2,10
Engine,21,660,,,,,,85,85,2,10
Engine,22,600,,,,,,85,85,2,10
Engine,22,600,,,,,,85,85,2,10
Engine,23,290,,,,,,85,85,2,10
Engine,23,290,,,,,,85,85,2,10
Engine,24,350,,,,,,85,85,2,10
Engine,24,350,,,,,,85,85,2,10
Engine,25,400,,,,,,85,85,2,10
Engine,25,400,,,,,,85,85,2,10
Engine,26,100,,,,,,85,85,2,10
Engine,26,100,,,,,,85,85,2,10
Engine,27,50,,,,,,85,85,2,10
Engine,27,50,,,,,,85,85,2,10
Engine,28,300,,,,,,85,85,2,10
Engine,28,300,,,,,,85,85,2,10
Engine,29,150,,,,,,85,85,2,10
Engine,29,150,,,,,,85,85,2,10
Engine,30,250,,,,,,85,85,2,10
Engine,30,250,,,,,,85,85,2,10
Engine,31,250,,,,,,85,85,2,10
Engine,31,250,,,,,,85,85,2,10
Engine GT,32,1060,,,,,,85,85,2,10
Engine GT,32,1060,,,,,,85,85,2,10
Engine GT,33,830,,,,,,85,85,2,10
Engine GT,33,830,,,,,,85,85,2,10
Engine GT,34,1230,,,,,,85,85,2,10
Engine GT,34,1230,,,,,,85,85,2,10
Engine GT,35,780,,,,,,85,85,2,10
Engine GT,35,770,,,,,,85,85,2,10
Engine GT,36,1130,,,,,,85,85,2,10
Engine GT,36,1080,,,,,,85,85,2,10
Engine GT,37,830,,,,,,85,85,2,10
Engine GT,37,830,,,,,,85,85,2,10
Engine GT,38,960,,,,,,85,85,2,10
Engine GT,38,960,,,,,,85,85,2,10
Engine GT,39,1020,,,,,,85,85,2,10
Engine GT,39,1020,,,,,,85,85,2,10
Engine GT,40,930,,,,,,85,85,2,10
Engine GT,40,930,,,,,,85,85,2,10
Engine GT,41,880,,,,,,85,85,2,10
Engine GT,41,880,,,,,,85,85,2,10
Engine GT,42,930,,,,,,85,85,2,10
Engine GT,42,930,,,,,,85,85,2,10
Engine GT,43,910,,,,,,85,85,2,10
Engine GT,43,910,,,,,,85,85,2,10
Engine GT,44,450,,,,,,85,85,2,10
Engine GT,44,400,,,,,,85,85,2,10
Engine GT,45,250,,,,,,85,85,2,10
Engine GT,45,250,,,,,,85,85,2,10
Engine GT,46,550,,,,,,85,85,2,10
Engine GT,46,550,,,,,,85,85,2,10
Engine GT,47,100,,,,,,85,85,2,10
Engine GT,47,90,,,,,,85,85,2,10
Engine GT,48,380,,,,,,85,85,2,10
Engine GT,48,380,,,,,,85,85,2,10
Engine GT,49,150,,,,,,85,85,2,10
Engine GT,49,150,,,,,,85,85,2,10
Engine GT,50,280,,,,,,85,85,2,10
Engine GT,50,280,,,,,,85,85,2,10
Engine GT,51,340,,,,,,85,85,2,10
Engine GT,51,340,,,,,,85,85,2,10
EngineGET,52,1250,,,,,,85,85,2,10
EngineGET,52,1200,,,,,,85,85,2,10
EngineGET,53,850,,,,,,85,85,2,10
EngineGET,53,850,,,,,,85,85,2,10
EngineGET,54,730,,,,,,85,85,2,10
EngineGET,54,730,,,,,,85,85,2,10
EngineGET,55,1050,,,,,,85,85,2,10
EngineGET,55,1050,,,,,,85,85,2,10
EngineGET,56,950,,,,,,85,85,2,10
EngineGET,56,950,,,,,,85,85,2,10
EngineGET,57,680,,,,,,85,85,2,10
EngineGET,57,680,,,,,,85,85,2,10
EngineGET,58,130,,,,,,85,85,2,10
EngineGET,58,130,,,,,,85,85,2,10
EngineGET,59,80,,,,,,85,85,2,10
EngineGET,59,80,,,,,,85,85,2,10
EngineGET,60,650,,,,,,85,85,2,10
EngineGET,60,600,,,,,,85,85,2,10
EngineGET,61,350,,,,,,85,85,2,10
EngineGET,61,350,,,,,,85,85,2,10
EngineGET,62,580,,,,,,85,85,2,10
EngineGET,62,590,,,,,,85,85,2,10
EngineGET,63,320,,,,,,85,85,2,10
EngineGET,63,300,,,,,,85,85,2,10
Front Wing,2,,,,,,1250,85,85,2,10
Front Wing,2,,,,,,1250,85,85,2,10
Front Wing,3,,,,,,1450,85,85,2,10
Front Wing,3,,,,,,1450,85,85,2,10
Front Wing,4,,,,,,1030,85,85,2,10
Front Wing,4,,,,,,1030,85,85,2,10
Front Wing,5,,,,,,1250,85,85,2,10
Front Wing,5,,,,,,1250,85,85,2,10
Front Wing,6,,,,,,1120,85,85,2,10
Front Wing,6,,,,,,1110,85,85,2,10
Front Wing,7,,,,,,1370,85,85,2,10
Front Wing,7,,,,,,1370,85,85,2,10
Front Wing,8,,,,,,1050,85,85,2,10
Front Wing,8,,,,,,1050,85,85,2,10
Front Wing,9,,,,,,1110,85,85,2,10
Front Wing,9,,,,,,1100,85,85,2,10
Front Wing,10,,,,,,1060,85,85,2,10
Front Wing,10,,,,,,1060,85,85,2,10
Front Wing,11,,,,,,1110,85,85,2,10
Front Wing,11,,,,,,1100,85,85,2,10
Front Wing,12,,,,,,650,85,85,2,10
Front Wing,12,,,,,,650,85,85,2,10
Front Wing,13,,,,,,660,85,85,2,10
Front Wing,13,,,,,,660,85,85,2,10
Front Wing,14,,,,,,660,85,85,2,10
Front Wing,14,,,,,,660,85,85,2,10
Front Wing,15,,,,,,300,85,85,2,10
Front Wing,15,,,,,,300,85,85,2,10
Front Wing,16,,,,,,610,85,85,2,10
Front Wing,16,,,,,,610,85,85,2,10
Front Wing,17,,,,,,570,85,85,2,10
Front Wing,17,,,,,,570,85,85,2,10
Front Wing,18,,,,,,570,85,85,2,10
Front Wing,18,,,,,,570,85,85,2,10
Front Wing,19,,,,,,640,85,85,2,10
Front Wing,19,,,,,,640,85,85,2,10
Front Wing,20,,,,,,470,85,85,2,10
Front Wing,20,,,,,,470,85,85,2,10
Front Wing,21,,,,,,660,85,85,2,10
Front Wing,21,,,,,,660,85,85,2,10
Front Wing,22,,,,,,480,85,85,2,10
Front Wing,22,,,,,,480,85,85,2,10
Front Wing,23,,,,,,170,85,85,2,10
Front Wing,23,,,,,,170,85,85,2,10
Front Wing,24,,,,,,360,85,85,2,10
Front Wing,24,,,,,,360,85,85,2,10
Front Wing,25,,,,,,320,85,85,2,10
Front Wing,25,,,,,,320,85,85,2,10
Front Wing,26,,,,,,100,85,85,2,10
Front Wing,26,,,,,,100,85,85,2,10
Front Wing,27,,,,,,220,85,85,2,10
Front Wing,27,,,,,,220,85,85,2,10
Front Wing,28,,,,,,150,85,85,2,10
Front Wing,28,,,,,,150,85,85,2,10
Front Wing,29,,,,,,170,85,85,2,10
Front Wing,29,,,,,,170,85,85,2,10
Front Wing,30,,,,,,250,85,85,2,10
Front Wing,30,,,,,,250,85,85,2,10
Front Wing,31,,,,,,300,85,85,2,10
Front Wing,31,,,,,,300,85,85,2,10
Front WingGET,52,,,,,,980,85,85,2,10
Front WingGET,52,,,,,,980,85,85,2,10
Front WingGET,53,,,,,,800,85,85,2,10
Front WingGET,53,,,,,,800,85,85,2,10
Front WingGET,54,,,,,,710,85,85,2,10
Front WingGET,54,,,,,,710,85,85,2,10
Front WingGET,55,,,,,,1000,85,85,2,10
Front WingGET,55,,,,,,1000,85,85,2,10
Front WingGET,56,,,,,,900,85,85,2,10
Front WingGET,56,,,,,,900,85,85,2,10
Front WingGET,57,,,,,,650,85,85,2,10
Front WingGET,57,,,,,,650,85,85,2,10
Front WingGET,58,,,,,,110,85,85,2,10
Front WingGET,58,,,,,,110,85,85,2,10
Front WingGET,59,,,,,,50,85,85,2,10
Front WingGET,59,,,,,,50,85,85,2,10
Front WingGET,60,,,,,,380,85,85,2,10
Front WingGET,60,,,,,,380,85,85,2,10
Front WingGET,61,,,,,,300,85,85,2,10
Front WingGET,61,,,,,,300,85,85,2,10
Front WingGET,62,,,,,,400,85,85,2,10
Front WingGET,62,,,,,,400,85,85,2,10
Front WingGET,63,,,,,,250,85,85,2,10
Front WingGET,63,,,,,,250,85,85,2,10
Gearbox,2,,1450,,,,,85,85,2,10
Gearbox,2,,1450,,,,,85,85,2,10
Gearbox,3,,1580,,,,,85,85,2,10
Gearbox,3,,1560,,,,,85,85,2,10
Gearbox,4,,1050,,,,,85,85,2,10
Gearbox,4,,1040,,,,,85,85,2,10
Gearbox,5,,1400,,,,,85,85,2,10
Gearbox,5,,1400,,,,,85,85,2,10
Gearbox,6,,1300,,,,,85,85,2,10
Gearbox,6,,1290,,,,,85,85,2,10
Gearbox,7,,1490,,,,,85,85,2,10
Gearbox,7,,1480,,,,,85,85,2,10
Gearbox,8,,1060,,,,,85,85,2,10
Gearbox,8,,1060,,,,,85,85,2,10
Gearbox,9,,1220,,,,,85,85,2,10
Gearbox,9,,1210,,,,,85,85,2,10
Gearbox,10,,1080,,,,,85,85,2,10
Gearbox,10,,1080,,,,,85,85,2,10
Gearbox,11,,1100,,,,,85,85,2,10
Gearbox,11,,1100,,,,,85,85,2,10
Gearbox,12,,580,,,,,85,85,2,10
Gearbox,12,,570,,,,,85,85,2,10
Gearbox,13,,660,,,,,85,85,2,10
Gearbox,13,,660,,,,,85,85,2,10
Gearbox,14,,690,,,,,85,85,2,10
Gearbox,14,,690,,,,,85,85,2,10
Gearbox,15,,350,,,,,85,85,2,10
Gearbox,15,,350,,,,,85,85,2,10
Gearbox,16,,510,,,,,85,85,2,10
Gearbox,16,,500,,,,,85,85,2,10
Gearbox,17,,540,,,,,85,85,2,10
Gearbox,17,,520,,,,,85,85,2,10
Gearbox,18,,470,,,,,85,85,2,10
Gearbox,18,,470,,,,,85,85,2,10
Gearbox,19,,640,,,,,85,85,2,10
Gearbox,19,,640,,,,,85,85,2,10
Gearbox,20,,490,,,,,85,85,2,10
Gearbox,20,,490,,,,,85,85,2,10
Gearbox,21,,650,,,,,85,85,2,10
Gearbox,21,,650,,,,,85,85,2,10
Gearbox,22,,500,,,,,85,85,2,10
Gearbox,22,,500,,,,,85,85,2,10
Gearbox,23,,310,,,,,85,85,2,10
Gearbox,23,,300,,,,,85,85,2,10
Gearbox,24,,380,,,,,85,85,2,10
Gearbox,24,,370,,,,,85,85,2,10
Gearbox,25,,420,,,,,85,85,2,10
Gearbox,25,,420,,,,,85,85,2,10
Gearbox,26,,80,,,,,85,85,2,10
Gearbox,26,,50,,,,,85,85,2,10
Gearbox,27,,150,,,,,85,85,2,10
Gearbox,27,,150,,,,,85,85,2,10
Gearbox,28,,360,,,,,85,85,2,10
Gearbox,28,,360,,,,,85,85,2,10
Gearbox,29,,180,,,,,85,85,2,10
Gearbox,29,,180,,,,,85,85,2,10
Gearbox,30,,280,,,,,85,85,2,10
Gearbox,30,,280,,,,,85,85,2,10
Gearbox,31,,250,,,,,85,85,2,10
Gearbox,31,,250,,,,,85,85,2,10
Gearbox GT,32,,1000,,,,,85,85,2,10
Gearbox GT,32,,980,,,,,85,85,2,10
Gearbox GT,33,,830,,,,,85,85,2,10
Gearbox GT,33,,830,,,,,85,85,2,10
Gearbox GT,34,,1280,,,,,85,85,2,10
Gearbox GT,34,,1230,,,,,85,85,2,10
Gearbox GT,35,,820,,,,,85,85,2,10
Gearbox GT,35,,820,,,,,85,85,2,10
Gearbox GT,36,,1080,,,,,85,85,2,10
Gearbox GT,36,,1030,,,,,85,85,2,10
Gearbox GT,37,,830,,,,,85,85,2,10
Gearbox GT,37,,830,,,,,85,85,2,10
Gearbox GT,38,,980,,,,,85,85,2,10
Gearbox GT,38,,980,,,,,85,85,2,10
Gearbox GT,39,,970,,,,,85,85,2,10
Gearbox GT,39,,970,,,,,85,85,2,10
Gearbox GT,40,,830,,,,,85,85,2,10
Gearbox GT,40,,830,,,,,85,85,2,10
Gearbox GT,41,,830,,,,,85,85,2,10
Gearbox GT,41,,830,,,,,85,85,2,10
Gearbox GT,42,,920,,,,,85,85,2,10
Gearbox GT,42,,920,,,,,85,85,2,10
Gearbox GT,43,,970,,,,,85,85,2,10
Gearbox GT,43,,970,,,,,85,85,2,10
Gearbox GT,44,,400,,,,,85,85,2,10
Gearbox GT,44,,350,,,,,85,85,2,10
Gearbox GT,45,,150,,,,,85,85,2,10
Gearbox GT,45,,150,,,,,85,85,2,10
Gearbox GT,46,,600,,,,,85,85,2,10
Gearbox GT,46,,550,,,,,85,85,2,10
Gearbox GT,47,,140,,,,,85,85,2,10
Gearbox GT,47,,140,,,,,85,85,2,10
Gearbox GT,48,,320,,,,,85,85,2,10
Gearbox GT,48,,300,,,,,85,85,2,10
Gearbox GT,49,,150,,,,,85,85,2,10
Gearbox GT,49,,150,,,,,85,85,2,10
Gearbox GT,50,,300,,,,,85,85,2,10
Gearbox GT,50,,300,,,,,85,85,2,10
Gearbox GT,51,,290,,,,,85,85,2,10
Gearbox GT,51,,290,,,,,85,85,2,10
GearboxGET,52,,1100,,,,,85,85,2,10
GearboxGET,52,,1050,,,,,85,85,2,10
GearboxGET,53,,800,,,,,85,85,2,10
GearboxGET,53,,800,,,,,85,85,2,10
GearboxGET,54,,790,,,,,85,85,2,10
GearboxGET,54,,790,,,,,85,85,2,10
GearboxGET,55,,1000,,,,,85,85,2,10
GearboxGET,55,,1000,,,,,85,85,2,10
GearboxGET,56,,850,,,,,85,85,2,10
GearboxGET,56,,850,,,,,85,85,2,10
GearboxGET,57,,780,,,,,85,85,2,10
GearboxGET,57,,780,,,,,85,85,2,10
GearboxGET,58,,190,,,,,85,85,2,10
GearboxGET,58,,190,,,,,85,85,2,10
GearboxGET,59,,180,,,,,85,85,2,10
GearboxGET,59,,180,,,,,85,85,2,10
GearboxGET,60,,500,,,,,85,85,2,10
GearboxGET,60,,450,,,,,85,85,2,10
GearboxGET,61,,250,,,,,85,85,2,10
GearboxGET,61,,250,,,,,85,85,2,10
GearboxGET,62,,460,,,,,85,85,2,10
GearboxGET,62,,450,,,,,85,85,2,10
GearboxGET,63,,200,,,,,85,85,2,10
GearboxGET,63,,200,,,,,85,85,2,10
Rear Wing,2,,,,1240,,,85,85,2,10
Rear Wing,2,,,,1240,,,85,85,2,10
Rear Wing,3,,,,1550,,,85,85,2,10
Rear Wing,3,,,,1550,,,85,85,2,10
Rear Wing,4,,,,1030,,,85,85,2,10
Rear Wing,4,,,,1030,,,85,85,2,10
Rear Wing,5,,,,1250,,,85,85,2,10
Rear Wing,5,,,,1250,,,85,85,2,10
Rear Wing,6,,,,1120,,,85,85,2,10
Rear Wing,6,,,,1110,,,85,85,2,10
Rear Wing,7,,,,1350,,,85,85,2,10
Rear Wing,7,,,,1350,,,85,85,2,10
Rear Wing,8,,,,1050,,,85,85,2,10
Rear Wing,8,,,,1050,,,85,85,2,10
Rear Wing,9,,,,1110,,,85,85,2,10
Rear Wing,9,,,,1110,,,85,85,2,10
Rear Wing,10,,,,1090,,,85,85,2,10
Rear Wing,10,,,,1090,,,85,85,2,10
Rear Wing,11,,,,1100,,,85,85,2,10
Rear Wing,11,,,,1100,,,85,85,2,10
Rear Wing,12,,,,550,,,85,85,2,10
Rear Wing,12,,,,550,,,85,85,2,10
Rear Wing,13,,,,660,,,85,85,2,10
Rear Wing,13,,,,660,,,85,85,2,10
Rear Wing,14,,,,670,,,85,85,2,10
Rear Wing,14,,,,670,,,85,85,2,10
Rear Wing,15,,,,300,,,85,85,2,10
Rear Wing,15,,,,300,,,85,85,2,10
Rear Wing,16,,,,520,,,85,85,2,10
Rear Wing,16,,,,520,,,85,85,2,10
Rear Wing,17,,,,520,,,85,85,2,10
Rear Wing,17,,,,520,,,85,85,2,10
Rear Wing,18,,,,505,,,85,85,2,10
Rear Wing,18,,,,505,,,85,85,2,10
Rear Wing,19,,,,680,,,85,85,2,10
Rear Wing,19,,,,680,,,85,85,2,10
Rear Wing,20,,,,350,,,85,85,2,10
Rear Wing,20,,,,350,,,85,85,2,10
Rear Wing,21,,,,670,,,85,85,2,10
Rear Wing,21,,,,670,,,85,85,2,10
Rear Wing,22,,,,540,,,85,85,2,10
Rear Wing,22,,,,540,,,85,85,2,10
Rear Wing,23,,,,430,,,85,85,2,10
Rear Wing,23,,,,430,,,85,85,2,10
Rear Wing,24,,,,370,,,85,85,2,10
Rear Wing,24,,,,370,,,85,85,2,10
Rear Wing,25,,,,450,,,85,85,2,10
Rear Wing,25,,,,450,,,85,85,2,10
Rear Wing,26,,,,100,,,85,85,2,10
Rear Wing,26,,,,100,,,85,85,2,10
Rear Wing,27,,,,180,,,85,85,2,10
Rear Wing,27,,,,180,,,85,85,2,10
Rear Wing,28,,,,420,,,85,85,2,10
Rear Wing,28,,,,420,,,85,85,2,10
Rear Wing,29,,,,120,,,85,85,2,10
Rear Wing,29,,,,120,,,85,85,2,10
Rear Wing,30,,,,280,,,85,85,2,10
Rear Wing,30,,,,280,,,85,85,2,10
Rear Wing,31,,,,100,,,85,85,2,10
Rear Wing,31,,,,100,,,85,85,2,10
Rear Wing GT,32,,,,900,,,85,85,2,10
Rear Wing GT,32,,,,900,,,85,85,2,10
Rear Wing GT,33,,,,850,,,85,85,2,10
Rear Wing GT,33,,,,850,,,85,85,2,10
Rear Wing GT,34,,,,950,,,85,85,2,10
Rear Wing GT,34,,,,950,,,85,85,2,10
Rear Wing GT,35,,,,800,,,85,85,2,10
Rear Wing GT,35,,,,800,,,85,85,2,10
Rear Wing GT,36,,,,920,,,85,85,2,10
Rear Wing GT,36,,,,920,,,85,85,2,10
Rear Wing GT,37,,,,800,,,85,85,2,10
Rear Wing GT,37,,,,800,,,85,85,2,10
Rear Wing GT,38,,,,810,,,85,85,2,10
Rear Wing GT,38,,,,810,,,85,85,2,10
Rear Wing GT,39,,,,860,,,85,85,2,10
Rear Wing GT,39,,,,860,,,85,85,2,10
Rear Wing GT,40,,,,820,,,85,85,2,10
Rear Wing GT,40,,,,820,,,85,85,2,10
Rear Wing GT,41,,,,900,,,85,85,2,10
Rear Wing GT,41,,,,900,,,85,85,2,10
Rear Wing GT,42,,,,820,,,85,85,2,10
Rear Wing GT,42,,,,820,,,85,85,2,10
Rear Wing GT,43,,,,840,,,85,85,2,10
Rear Wing GT,43,,,,840,,,85,85,2,10
Rear Wing GT,44,,,,320,,,85,85,2,10
Rear Wing GT,44,,,,320,,,85,85,2,10
Rear Wing GT,45,,,,220,,,85,85,2,10
Rear Wing GT,45,,,,220,,,85,85,2,10
Rear Wing GT,46,,,,350,,,85,85,2,10
Rear Wing GT,46,,,,350,,,85,85,2,10
Rear Wing GT,47,,,,200,,,85,85,2,10
Rear Wing GT,47,,,,200,,,85,85,2,10
Rear Wing GT,48,,,,300,,,85,85,2,10
Rear Wing GT,48,,,,300,,,85,85,2,10
Rear Wing GT,49,,,,200,,,85,85,2,10
Rear Wing GT,49,,,,200,,,85,85,2,10
Rear Wing GT,50,,,,210,,,85,85,2,10
Rear Wing GT,50,,,,210,,,85,85,2,10
Rear Wing GT,51,,,,260,,,85,85,2,10
Rear Wing GT,51,,,,260,,,85,85,2,10
Rear WingGET,52,,,,900,,,85,85,2,10
Rear WingGET,52,,,,900,,,85,85,2,10
Rear WingGET,53,,,,890,,,85,85,2,10
Rear WingGET,53,,,,890,,,85,85,2,10
Rear WingGET,54,,,,750,,,85,85,2,10
Rear WingGET,54,,,,750,,,85,85,2,10
Rear WingGET,55,,,,1000,,,85,85,2,10
Rear WingGET,55,,,,1000,,,85,85,2,10
Rear WingGET,56,,,,850,,,85,85,2,10
Rear WingGET,56,,,,850,,,85,85,2,10
Rear WingGET,57,,,,680,,,85,85,2,10
Rear WingGET,57,,,,680,,,85,85,2,10
Rear WingGET,58,,,,150,,,85,85,2,10
Rear WingGET,58,,,,150,,,85,85,2,10
Rear WingGET,59,,,,80,,,85,85,2,10
Rear WingGET,59,,,,80,,,85,85,2,10
Rear WingGET,60,,,,300,,,85,85,2,10
Rear WingGET,60,,,,300,,,85,85,2,10
Rear WingGET,61,,,,250,,,85,85,2,10
Rear WingGET,61,,,,250,,,85,85,2,10
Rear WingGET,62,,,,400,,,85,85,2,10
Rear WingGET,62,,,,400,,,85,85,2,10
Rear WingGET,63,,,,290,,,85,85,2,10
Rear WingGET,63,,,,290,,,85,85,2,10
Suspension,2,,,,,1280,,85,85,2,10
Suspension,2,,,,,1280,,85,85,2,10
Suspension,3,,,,,1550,,85,85,2,10
Suspension,3,,,,,1550,,85,85,2,10
Suspension,4,,,,,1030,,85,85,2,10
Suspension,4,,,,,1030,,85,85,2,10
Suspension,5,,,,,1310,,85,85,2,10
Suspension,5,,,,,1310,,85,85,2,10
