First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Marco,Matassa,M,30,Italy,24/04/1986,12,10,11,10,11,12,48;46;38,5.6,2013,2019,5,1,6,1,1,0,0,10,10,55,5,19,0,0,0,5,3,0,4,0,3.708333333
Ed,Wood,M,24,UK,22/05/1969,13,12,9,11,12,11,82;43,0.37,2013,2017,2,1,2,7,0,0,11,17,50,62,1,0,0,0,0,0,0,0,0,0,1.666666667
Paolo,Marabini,M,25,Italy,15/06/1973,11,11,9,12,11,11.5,43,0.17,2013,2017,5,4,8,0,0,0,10,10,54,58,1,0,0,0,0,0,0,6,0,0,1.166666667
Denis,Chevrier,M,26,France,23/03/1955,11,11,9.3,12,11.5,12,80;81;82,0.6,2013,2016,3,0,6,6,0,0,0,5,10,65,5,2,0,0,0,2,1,0,0,0,2.208333333
Eric,Gandelin,M,23,France,14/05/1976,12,12,9,9,10,12,85,0.17,2012,2019,4,4,0,6,0,0,0,10,17,45,4,0,0,0,0,0,0,0,0,0,1.166666667
Gabriele,Tredozi,M,29,Italy,13/09/1958,9,9,12,10,12,11,71,0.37,2013,2017,4,5,6,9,0,0,4,17,15,60,5,0,0,0,0,0,0,0,0,0,1.666666667
Thomas,Fuhr,M,15,Germany,11/07/1965,12,12.5,10,11,11,14,29;34;47,0.1,2013,2018,1,0,10,9,1,0,10,15,19,55,5,4,0,0,0,1,1,0,0,0,0.9583333333
Ben,Agathangelou,M,27,UK,30/04/1983,13,14,14,13,15,13.5,30;35;36,0.18,2013,2017,3,1,9,11,0,0,4,20,20,55,5,1,0,0,0,0,0,0,0,0,1.208333333
Dan,Fallows,M,7,UK,24/02/1976,12,13,12,13,14,12,29;85;66,5.88,2016,2019,3,1,7,11,0,0,0,20,20,55,5,0,0,0,0,0,0,0,0,0,2.416666667
Matt,Jonsson,M,32,Sweden,11/05/1973,18,15,14,13.5,14,16.5,29;33;37;41;40,5.88,2007,2019,1,1,7,2,0,0,0,0,50,65,5,55,2,4,3,0,0,0,432,0,3.75
Brian,Campe,M,33,UnitedStates,11/05/1980,14.5,13.5,13.5,12.5,13,14.5,29;33;37;41;40,3.71,2014,2019,1,1,7,2,0,0,0,0,50,65,5,60,5,4,3,0,0,0,432,0,3.75
Chris,Simmons,M,34,UnitedStates,09/04/1974,15,14.5,13.5,13.5,15.5,14.5,38;42,5.6,2014,2019,4,3,6,9,0,0,0,0,50,65,5,27,3,8,0,8,6,0,127,0,3.708333333
Eric,Bretzman,M,35,UnitedStates,01/08/1978,13,12.5,11,12,12,13,85;36;71,4.25,2009,2019,5,0,6,11,0,0,9,0,50,65,5,56,1,7,0,0,0,0,43,0,3.5
Rob,Edwards,M,36,UK,25/06/1970,15.5,16,12,14.5,14.5,14.5,29;33;38,4.79,2004,2019,3,5,1,8,1,0,0,10,5,68,5,46,1,4,0,0,0,0,234,0,3.416666667
Rob,Edwards,M,37,UK,25/06/1970,15.5,16,12,14.5,14.5,14.5,29;33;38,2.9,2004,2019,3,5,1,8,1,0,0,10,5,68,5,46,1,4,0,0,0,0,234,0,3.416666667
Tom,German,M,38,UnitedStates,01/08/1965,14.5,13.5,13,13,13,13.5,85;36;71,0.92,2009,2019,5,0,6,11,0,0,9,0,50,65,5,56,1,7,0,0,0,0,43,0,3.5
Brandon,Fry,M,39,UnitedStates,22/02/1977,12.5,12,9.5,11,12,11.5,65;47,0.7,2008,2019,1,1,6,7,0,0,0,15,66,65,5,33,11,39,16,31,16,0,970,0,3.291666667
Todd,Malloy,M,40,UnitedStates,14/02/1974,15,15,12.5,13.5,13.5,13.5,48;66;41,0.22,2012,2019,5,1,4,2,0,0,0,10,70,65,5,54,0,4,0,0,0,0,54,0,2.833333333
Michael,Watson,M,41,UnitedStates,20/05/1971,11.5,10.5,10.5,10.5,11.5,10.5,84;85;67;43,0.58,2011,2016,4,1,1,8,0,0,0,3,50,70,5,46,0,4,0,0,0,0,0,0,2.3975
Will,Philips,M,47,UnitedStates,15/02/1976,12,12.5,10,12,11.5,12,30;48,0.73,2013,2019,5,1,1,1,0,0,7,0,50,65,5,33,0,3,0,0,0,0,0,0,1.291666667
Allen,McDonald,M,43,UnitedStates,25/02/1968,13.5,11,11,11,11,12,30;32,0.96,2010,2019,2,2,0,11,0,0,0,16,23,65,5,43,2,5,0,0,0,0,35,0,3.583333333
Jack,Palmer,M,44,UnitedStates,19/03/1979,9.5,9.5,8,8,8,9.5,86;66;67,0.98,2010,2019,5,0,10,9,0,0,2,0,50,70,5,31,0,0,0,0,0,0,0,0,2.958333333
Thomas,Walker,M,45,UnitedStates,04/06/1983,9.5,9,9.5,8,9,8.5,37,0.85,2010,2019,5,1,4,9,0,0,0,25,87,70,5,32,0,5,0,0,0,0,0,0,2.708333333
Mark,Weida,M,46,UnitedStates,21/12/1965,9,9,9,9,9.5,9,34;37;45,0.9,2010,2019,5,5,5,7,0,0,2,40,62,70,5,5,0,3,0,0,0,0,0,0,2.791666667
Ernesto,Gonella,M,42,Argentina,06/05/1964,11.5,11,10.5,11.5,11.5,12,30;35;37;38;42,1,2004,2019,1,2,3,5,0,0,0,0,50,68,5,14,0,0,0,0,0,0,0,0,3
Tim,Neff,M,48,UnitedStates,22/05/1960,9.5,9.5,10.5,9,9.5,10.5,48;40,0.65,2009,2019,3,1,4,2,1,0,0,0,50,65,5,12,0,0,0,0,0,0,0,0,2.291666667
Yancy,Diotalevi,M,49,Canada,26/06/1976,9.5,9.5,9,9,9.5,9.5,86;46,0.63,2011,2019,3,1,2,11,0,0,0,0,50,65,4,2,0,0,0,1,0,0,0,0,2.25
Jack,Engle,M,50,UnitedStates,08/05/1965,8,8.5,8,9,8,8.5,84;85,0.22,2013,2019,5,2,1,1,0,0,10,25,70,65,5,1,0,0,0,0,0,2,0,0,1.291666667
Paul,Willems,M,51,Netherlands,09/01/1978,9,8,8,8,9,8.5,29;36;41,0.23,2016,2019,5,1,1,7,0,0,0,11,70,65,5,0,0,0,0,0,0,2,0,0,1.333333333
Pascal,Vasselon,M,52,France,24/12/1963,18.5,16,14.5,13.5,14.5,16,89;101,2.35,2009,2019,2,1,8,8,0,0,2,13,10,70,5,0,0,0,0,0,0,0,0,0,3.208333333
Mattias,Hossann,M,53,France,30/05/1980,13.5,13.5,12.5,12.5,12.5,13.5,43,5.86,2013,2016,5,0,4,10,0,0,0,0,50,65,5,19,0,0,0,5,3,0,4,0,3.748333333
Nicholas,Tombazis,M,55,Greece,10/05/1969,13,12.5,13,11,12,13,30;32;71,0.83,2013,2016,3,1,1,10,0,0,0,0,50,65,5,0,0,0,0,0,0,0,0,0,2.666666667
Ulrich,Baretzky,M,58,Germany,13/10/1955,11.5,10.5,11,9,9.5,11.5,65;66;67,0.81,2012,2017,1,1,2,11,0,0,5,0,50,65,5,1,0,0,0,0,0,0,6,0,2.625
Geoff,Willis,M,56,UK,09/04/1960,14,15,13.5,13,12.5,14.5,36;71,3.17,2013,2016,1,1,7,7,0,0,0,0,61,70,5,2,0,0,0,2,1,0,0,0,3.333333333
Dave,Greenwood,M,57,UK,10/08/1976,11.5,11.5,12,12,12,12.5,29;33,1.27,2013,2018,5,1,1,3,0,0,0,13,50,65,5,0,0,0,0,0,0,0,0,0,3.041666667
Frank-Steffen,Walliser,M,54,Germany,16/08/1969,15,14.5,13.5,14,14.5,15,38,0.88,2013,2019,5,0,6,7,0,0,0,0,50,70,5,0,0,0,0,0,0,0,0,0,2.75
David,Floury,M,59,UK,23/10/1978,14.5,14,13,13.5,13.5,15,32;38,0.6,2013,2019,1,1,0,10,0,0,0,0,50,55,5,4,0,0,0,1,1,0,0,0,2.208333333
Dan,Sayers,M,60,UK,11/12/1976,15,12,11,12,12,13.5,41;42,0.13,2013,2019,5,4,6,6,1,0,2,0,50,60,5,1,0,0,0,0,0,0,0,0,1.083333333
Axel,Funke,M,62,France,15/05/1959,12,11,11,10.5,10,12,33;36,0.54,2013,2019,1,4,6,6,1,0,0,0,50,65,5,0,0,0,0,0,0,0,0,0,2.083333333
Mike,Pickup,M,61,UK,04/03/1965,10.5,10.5,10,9.5,9.5,10,42,0.48,2009,2019,3,1,7,0,0,1,2,0,50,65,5,0,0,0,0,0,0,0,0,0,1.958333333
August,Achleitner,M,63,Germany,15/02/1958,12,11.5,9,11,10,12,48;47,1,2013,2019,5,1,10,2,0,0,0,0,50,70,5,0,0,0,0,0,0,0,0,0,3
Rob,Taylor,M,,UK,30/08/1974,12.5,11.5,12,12.5,12.8,13.5,84;48,,,,5,2,3,0,1,0,0,5,10,65,5,0,0,0,0,0,0,0,0,0,2.958333333
John,McQuilliam,M,,UK,14/08/1963,12,12,9,10,11,12,86;85;40,,,,4,4,2,7,1,0,3,10,10,75,5,0,0,0,0,0,0,0,0,0,1.708333333
Rob,Marshall,M,,UK,24/12/1969,13.5,13.5,11.5,18,17.5,13.5,29;33;41,,,,4,1,2,2,1,0,0,10,5,65,5,0,0,0,0,0,0,0,0,0,1.5
Aldo,Costa,M,,Italy,08/04/1961,19.2,18.5,18,18.5,18.5,19.5,29;90,,,,3,1,10,5,0,0,3,5,5,65,5,0,0,0,0,0,0,0,0,0,2.441666667
Paolo,Catone,M,,Italy,22/02/1961,11,11,9,10,11,13,30;33;32,,,,4,2,4,2,1,0,0,10,15,75,5,0,0,0,0,0,0,0,0,0,1.2875
Pierre,Wache,M,,France,24/02/1974,13.5,12.5,10,12,12,12.5,80,,,,2,4,5,7,0,0,0,10,15,65,5,0,0,0,0,0,0,0,0,0,1.369166667
Peter,Prodromou,M,31,UK,29/09/1970,11,12.5,11,13,13,14.5,34;47,0.71,2016,2018,4,2,6,3,0,0,8,15,15,65,5,0,0,0,0,0,0,0,0,0,2.4225
Paddy,Lowe,M,,UK,11/06/1962,17.5,15,14.5,13,13,14.5,29;35,,,,1,2,8,6,1,0,0,10,15,65,5,0,0,0,0,0,0,0,0,0,1.754583333
Alex,Hitzinger,M,,Germany,23/10/1971,14,13.5,12,12.5,12.5,13,84,,,,1,1,1,5,0,0,0,5,15,65,5,0,0,0,0,0,0,0,0,0,1.774166667
Nick,Chester,M,,UK,22/03/1969,15,14.5,13.5,14,15,15,30;48;66,,,,2,2,7,4,1,0,0,5,15,65,5,0,0,0,0,0,0,0,0,0,2.15375
Tim,Goss,M,,UK,24/02/1976,11.5,14.5,12,15,15,13,80,,,,2,4,5,7,0,0,0,10,15,55,5,0,0,0,0,0,0,0,0,0,1.369166667
Jorg,Zander,M,,Switzerland,24/02/1958,14,12.5,12,12,12.5,13.5,80,,,,2,4,5,7,0,0,0,10,15,70,5,0,0,0,0,0,0,0,0,0,1.369166667
Rudolf,Florstedt,M,,Germany,25/9/1983,19,17,18,14,5,10,45;40,,,,5,3,2,6,2,0,6,25,58,59,2,0,0,0,0,0,0,0,0,0,3.375
Elliot,Wright,M,,UnitedStates,15/9/1961,9,20,10,5,15,9,80;38,,,,4,5,11,9,0,0,6,30,41,52,1,0,0,0,0,0,0,0,0,0,1.925
Ariadna,Cambeiro,F,,Spain,26/5/1973,17,8,7,17,19,8,84;46;44,,,,5,3,3,8,0,0,0,10,62,53,1,0,0,0,0,0,0,0,0,0,1.88
Artur,Moura,M,,Brazil,15/4/1988,6,17,9,13,8,14,30;81,,,,2,5,0,9,0,0,8,15,23,55,3,0,0,0,0,0,0,0,0,0,1.68
Ewan,Watkins,M,,UK,9/1/1983,10,11,9,16,11,5,38;40,,,,5,2,11,6,0,0,0,8,66,52,2,0,0,0,0,0,0,0,0,0,2.605
Jade,Asselineau,F,,France,24/5/1965,5,11,11,5,18,14,34;66;43,,,,5,5,2,9,0,0,6,5,80,53,4,0,0,0,0,0,0,0,0,0,1.99
Isaac,Amorim,M,,Brazil,30/12/1981,11,17,14,18,12,17,34;46,,,,2,3,9,7,2,0,0,34,36,50,2,0,0,0,0,0,0,0,0,0,2.89
Wu,Bi,M,,China,16/11/1980,9,19,17,15,11,11,84;65,,,,4,1,10,9,2,0,5,11,78,50,1,0,0,0,0,0,0,0,0,0,1.965
Jade,Duff,F,,Australia,1/6/1982,5,10,20,12,13,10,81;32;42,,,,3,2,1,9,0,0,10,18,70,60,5,0,0,0,0,0,0,0,0,0,3.45
Mel,Sellers,F,,UnitedStates,19/1/1976,6,5,17,14,8,14,29;48;45,,,,5,5,10,9,0,0,3,27,67,58,5,0,0,0,0,0,0,0,0,0,3.445
Rainer,Ortmann,M,,Germany,15/8/1981,7,6,5,9,11,16,80;46;40,,,,5,0,7,0,0,0,10,25,55,50,5,0,0,0,0,0,0,0,0,0,2.215
Jada,Johnson,F,,UK,10/5/1970,17,5,17,17,11,9,86;36;45,,,,2,3,6,6,0,0,6,36,72,58,1,0,0,0,0,0,0,0,0,0,2.515
Futaki,Masu,M,,Japan,28/6/1978,5,7,14,8,17,20,86;71,,,,4,0,9,9,0,0,0,24,65,59,1,0,0,0,0,0,0,0,0,0,2.98
Melchior,Hielscher,M,,Germany,22/1/1975,14,9,10,12,15,12,81,,,,4,0,0,4,0,0,2,23,39,60,5,0,0,0,0,0,0,0,0,0,2.015
Patrick,Ancel,M,,France,1/3/1973,12,12,16,8,9,7,37;40,,,,3,2,9,0,1,0,1,37,31,60,2,0,0,0,0,0,0,0,0,0,1.19
Jacob,Maxwell,M,,UnitedStates,9/10/1979,18,14,9,13,13,5,30;46;44,,,,4,2,11,1,2,0,0,23,62,52,2,0,0,0,0,0,0,0,0,0,2.375
Leendert,Besseman,M,,Netherlands,19/7/1966,17,17,6,12,14,17,66;38;43,,,,3,1,3,10,0,0,0,28,27,57,2,0,0,0,0,0,0,0,0,0,1.075
Consuela,Gisbert,F,,Mexico,7/6/1962,5,19,9,10,9,13,30;47;41,,,,4,1,11,7,0,0,1,6,31,51,4,0,0,0,0,0,0,0,0,0,2.91
Angel,Atenas,M,,Mexico,12/11/1960,18,17,16,13,20,14,84;46;41,,,,3,2,1,8,0,0,0,8,45,56,4,0,0,0,0,0,0,0,0,0,1.765
Rui,Paiva,M,,Brazil,15/1/1972,13,7,19,6,20,18,81,,,,2,5,6,9,0,0,9,32,45,51,1,0,0,0,0,0,0,0,0,0,3.17
Nicolina,Svensson,F,,Sweden,16/5/1985,9,5,7,7,18,8,71,,,,3,1,6,8,1,0,7,14,80,52,1,0,0,0,0,0,0,0,0,0,1.525
Willy,Haussegger,M,,Germany,7/8/1987,9,7,11,14,16,5,86;81;37,,,,4,2,10,1,0,0,0,15,20,54,3,0,0,0,0,0,0,0,0,0,3.73
Chelsea,Hunt,F,,UK,7/2/1968,16,6,18,20,9,5,80;66;38;40,,,,5,5,10,9,0,0,0,37,77,55,1,0,0,0,0,0,0,0,0,0,2.635
Samuel,VanDenDriessche,M,,Belgium,10/5/1961,14,10,6,9,9,15,38,,,,3,4,11,9,0,0,6,9,59,59,1,0,0,0,0,0,0,0,0,0,2.345
Rosalie,Chardin,F,,France,9/8/1971,20,12,15,8,10,18,85;47;40,,,,2,3,3,6,1,0,8,35,45,56,5,0,0,0,0,0,0,0,0,0,1.975
Felix,Blomgren,M,,Sweden,7/12/1974,20,16,12,7,12,6,80;81;82;41;42,,,,3,2,4,1,0,0,0,20,62,50,5,0,0,0,0,0,0,0,0,0,2.04
Raquel,Azevedo,F,,Brazil,23/3/1983,14,17,14,7,5,18,43,,,,2,2,11,4,0,0,9,19,45,58,1,0,0,0,0,0,0,0,0,0,1.79
Marta,Asheim,F,,Norway,15/4/1985,19,11,11,13,11,16,36;43,,,,3,2,2,1,0,0,10,16,65,52,2,0,0,0,0,0,0,0,0,0,2.925
Marie-José,Hébras,F,,France,20/10/1971,10,5,15,13,17,16,30;66,,,,2,4,11,9,0,0,6,37,29,50,3,0,0,0,0,0,0,0,0,0,1.575
Thomas,Minga,M,,Portugal,10/12/1977,10,13,16,12,7,12,30;65;36,,,,3,1,4,9,0,0,5,24,79,50,1,0,0,0,0,0,0,0,0,0,1.645
Vítor,Hernandes,M,,Portugal,7/3/1975,16,16,7,16,7,6,29;32;40,,,,4,1,2,9,0,0,0,26,78,51,4,0,0,0,0,0,0,0,0,0,2.585
Miina,Kotilainen,F,,Finland,20/4/1979,7,18,14,19,16,14,65,,,,2,0,5,9,0,0,0,10,33,55,5,0,0,0,0,0,0,0,0,0,2.045
Richard,Holland,M,,NewZealand,27/4/1982,11,18,16,18,18,10,35,,,,4,2,2,9,0,0,0,36,53,58,5,0,0,0,0,0,0,0,0,0,2.88
Jordan,Holden,M,,UK,2/9/1968,5,14,18,6,5,17,42,,,,2,0,6,2,0,0,3,32,52,52,4,0,0,0,0,0,0,0,0,0,2.7
Sakarias,Grönblom,M,,Sweden,6/5/1984,7,6,11,10,11,9,71;44,,,,5,2,1,0,0,0,9,24,40,50,4,0,0,0,0,0,0,0,0,0,1.995
Imer,Lisjak,M,,Slovenia,17/7/1985,18,9,16,9,13,14,84;33;82;45;44,,,,4,0,6,4,0,0,2,29,80,51,4,0,0,0,0,0,0,0,0,0,3.545
Aimee,Stone,F,,UK,19/9/1961,17,8,6,17,14,19,30;33;46,,,,5,2,10,2,1,0,0,7,38,54,4,0,0,0,0,0,0,0,0,0,3.835
Jodie,King,F,,UK,25/11/1971,14,10,8,11,12,18,80;46;45;43,,,,2,3,6,7,0,0,7,12,62,51,3,0,0,0,0,0,0,0,0,0,1.82
Lysandra,Leventi,F,,Spain,4/5/1975,19,11,15,20,14,8,84;33;82;67,,,,5,3,6,8,0,0,9,13,30,54,1,0,0,0,0,0,0,0,0,0,3.16
Michael,Williamson,M,,UK,19/6/1971,20,17,11,14,15,19,29;81;67,,,,2,4,6,9,0,0,2,17,39,56,4,0,0,0,0,0,0,0,0,0,3.19
John,Cunningham,M,,UK,12/2/1982,20,5,14,12,7,11,80;65;37;45;44,,,,4,2,2,3,0,0,0,7,45,55,3,0,0,0,0,0,0,0,0,0,3.945
Yorick,Cluysen,M,,Belgium,3/4/1960,20,13,12,7,17,18,66,,,,4,2,3,1,0,0,0,38,21,52,4,0,0,0,0,0,0,0,0,0,2.53
Oliver,Jensen,M,,UK,6/1/1972,5,18,13,10,14,7,81;43,,,,5,2,5,7,1,0,0,35,26,54,5,0,0,0,0,0,0,0,0,0,2
Tsujita,Akiko,M,,Japan,7/2/1966,20,17,15,7,11,19,86,,,,4,1,11,8,0,0,0,18,56,52,4,0,0,0,0,0,0,0,0,0,3.97
José,Batista,M,,Brazil,21/8/1966,8,8,20,14,20,13,29;65;44,,,,5,3,2,7,2,0,0,5,26,53,1,0,0,0,0,0,0,0,0,0,3.22
Eve,Morgan,F,,UK,6/10/1972,17,5,20,18,7,6,82;44,,,,4,1,4,9,0,0,0,19,40,57,2,0,0,0,0,0,0,0,0,0,1.94
Kiley,Hendrix,F,,UK,8/6/1970,10,18,20,14,15,19,86;48;47;41;40,,,,3,1,9,2,0,0,0,6,44,58,2,0,0,0,0,0,0,0,0,0,3.175
Juliana,Semprún,F,,Spain,6/10/1975,8,7,16,7,13,16,29;34;66;71;42,,,,2,3,2,7,0,0,4,35,37,59,5,0,0,0,0,0,0,0,0,0,1.055
Anna,Bennett,F,,UK,12/1/1983,12,7,14,14,5,6,35;32;45;40,,,,3,1,3,1,0,0,9,14,38,53,5,0,0,0,0,0,0,0,0,0,1.54
Mia,Alvino,F,,Italy,26/6/1981,13,20,15,13,20,15,80;65;37;45;90,,,,3,1,10,7,0,0,4,17,57,51,5,0,0,0,0,0,0,0,0,0,1.915
Cameron,Watson,M,,UK,28/8/1966,18,5,19,13,12,11,84;35;46;41;90,,,,2,2,7,2,0,0,0,16,35,51,5,0,0,0,0,0,0,0,0,0,2.93
Edward,Murphy,M,,UK,18/6/1969,8,16,15,7,12,15,86;85;46;41;44,,,,5,3,8,6,1,0,1,21,65,52,4,0,0,0,0,0,0,0,0,0,2.4
Sebastian,Bolek,M,,Poland,15/11/1968,8,14,5,6,7,9,86;85;46;101;44,,,,4,1,6,2,0,0,7,40,43,60,3,0,0,0,0,0,0,0,0,0,1.65
Kate,Bradshaw,F,,UK,23/6/1983,14,14,15,10,7,16,86;85;47;90,,,,3,3,1,9,0,0,0,5,21,56,3,0,0,0,0,0,0,0,0,0,3.67
Katja,Blomquist,F,,Sweden,30/8/1968,9,18,20,19,17,16,89;37;101,,,,5,1,10,2,0,0,10,18,43,51,5,0,0,0,0,0,0,0,0,0,2.93
Eve,Bailey,F,,UK,11/7/1983,11,8,16,20,17,11,85;46;90,,,,4,5,8,9,1,0,2,31,74,58,5,0,0,0,0,0,0,0,0,0,2.59
Leonel,Gusmão,M,,Brazil,10/10/1969,15,20,20,16,16,15,86;85;47;45;90,,,,3,0,10,5,0,0,0,9,68,59,5,0,0,0,0,0,0,0,0,0,2.495
Oscar,Page,M,,UK,16/4/1968,11,15,12,7,10,12,80;46;44,,,,4,2,11,0,0,0,0,39,40,53,5,0,0,0,0,0,0,0,0,0,2.81
Benjamin,Horn,M,,NewZealand,4/4/1979,12,8,14,13,9,17,86;85;41;90,,,,2,3,3,8,0,0,10,20,22,55,2,0,0,0,0,0,0,0,0,0,2.805
Lucas,Grove,M,,UnitedStates,6/7/1985,8,5,8,5,15,13,86;85;47;101;44,,,,4,5,7,9,1,0,0,14,53,56,2,0,0,0,0,0,0,0,0,0,3.76
Biryukov,Olegovich,M,,RussianFederation,9/10/1982,19,6,16,12,19,6,86;85;37;101;44,,,,5,1,1,6,0,0,0,7,24,55,5,0,0,0,0,0,0,0,0,0,1.865
Florencia,Laguna,F,,Mexico,27/7/1988,5,14,7,19,11,16,86;85;46;101;90,,,,4,1,4,6,0,0,3,25,40,56,3,0,0,0,0,0,0,0,0,0,2.97
Charoen,Juntasa,F,,Thailand,17/5/1975,7,19,14,19,12,6,85;90,,,,2,0,8,9,0,0,0,40,24,58,4,0,0,0,0,0,0,0,0,0,2.69
Orlando,Manzanares,M,,Spain,27/5/1964,7,18,6,8,8,5,86;85;46;90,,,,5,2,7,2,0,0,0,13,49,52,5,0,0,0,0,0,0,0,0,0,3.095
Gianpietro,Castellini,M,,Italy,10/3/1976,12,9,7,17,17,9,47;45;90,,,,4,2,11,3,0,0,10,16,48,54,4,0,0,0,0,0,0,0,0,0,2.395
Catrin,Weber,F,,Germany,2/6/1988,10,7,10,9,16,17,86;85;46;44,,,,4,1,10,0,0,0,5,22,29,52,1,0,0,0,0,0,0,0,0,0,2.665
Harriet,Stewart,F,,UnitedStates,2/11/1980,11,13,18,7,15,5,86;46;90,,,,5,0,5,2,0,0,0,30,46,54,3,0,0,0,0,0,0,0,0,0,2.99
Ineke,Salvera,F,,Netherlands,5/11/1962,8,6,5,11,7,11,86;46;101;90,,,,4,0,10,0,0,0,0,8,76,56,3,0,0,0,0,0,0,0,0,0,2.31
Priscilla,Goodwin,F,,Canada,30/10/1982,14,11,19,20,5,6,86;47;101;90,,,,2,3,4,9,0,0,9,8,70,52,2,0,0,0,0,0,0,0,0,0,1.7
