Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Goodyear,UnitedStates,361,Automotive,1,3,,0,0,,,,0.071,10,0.71,0.071,1,16,0,0,0,James,Freeman,M,0,5,6,0,0,0
Carrozzeria,Italy,260,Automotive,3,2,,0.003,0,,,,0.182,5,0.91,0.182,1,42,60,0,60,Lana,Castle,F,4,5,7,0,0,0
Honda,Japan,34,Automotive,4,6,,75.478,0,,,,0.675,178,195.63,1.099,1,20,56,0,56,Takahiro,Hachigo,M,0,4,1,0,0,0
WithU,France,319,Oil,2,5,,0,0,,,,0.169,10,1.69,0.169,1,12,29,0,29,James,Freeman,M,0,5,6,0,0,0
Honda,Japan,72,Automotive,1,6,,2.027,0,,,,0.226,66,16.94,0.257,1,20,12,0,12,James,Freeman,M,4,2,7,0,0,0
Vantelin,Japan,245,Appliances,4,2,,0.182,0,,,,0.380,5,2.08,0.416,1,64,0,0,0,Aguri,Suzuki,M,0,5,6,0,0,0
Hitachi,Japan,250,Technology,4,6,,94.043,0,,,,0.806,203,257.66,1.269,1,76,49,0,49,James,Freeman,M,4,2,7,0,0,0
Castrol,UK,303,Oil,3,6,,0,0,,,,0.357,25,8.92,0.357,1,24,0,0,0,James,Freeman,M,0,5,6,0,0,0
BWT,Austria,131,Technology,5,4,,0,0,,,,0.553,10,5.53,0.553,1,15,38,0,38,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Richard Mille,Switzerland,366,Clothing,1,6,,5.778,0,,,,0.152,153,29.03,0.19,1,17,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Thiriet,France,155,Fashion,3,6,,0,0,,,,0.578,52,30.06,0.578,1,18,0,0,0,Alan,Jope,M,1,2,2,1,0,0
Pirelli,Italy,51,Automotive,2,3,,1.596,0,4,2,0.561,,9,6.64,0.738,1,28,0,0,0,Nathen,Bourdeau,M,1,3,6,0,0,0
Fifth Third Bank,UnitedStates,106,Banking,1,1,,0.011,0,,,,0.046,3,0.15,0.05,1,4,0,0,0,James,Freeman,M,4,2,7,0,0,0
Vuse,UnitedStates,394,Appliances,3,1,,0,0,,,,0.148,3,0.44,0.147,1,18,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
ESMotor,UK,187,Automotive,3,4,,0,0,,,,0.353,12,4.24,0.353,1,36,12,0,12,James,Freeman,M,0,5,6,0,0,0
Richard Mille,Switzerland,365,Clothing,2,5,,0.359,0,,,,0.122,10,1.58,0.158,1,24,50,0,50,Kyle,Malier,M,1,5,9,1,0,0
Remus,Germany,243,Automotive,2,5,,0,0.5,2,9,0.421,,15,6.32,0.421,1,14,41,0,41,James,Freeman,M,0,5,6,0,0,0
Michelin,France,279,Automotive,1,6,,14.143,0,,,,0.151,225,48.12,0.214,1,6,12,0,12,James,Freeman,M,0,5,6,0,0,0
KCMG,Japan,258,Automotive,2,4,,0.008,0,,,,0.243,7,1.71,0.244,1,24,12,0,12,Lana,Castle,F,4,5,7,0,0,0
NTT Data,Japan,339,Telecoms,5,4,,0,0,,,,0.677,12,8.12,0.677,1,30,107,0,107,James,Freeman,M,4,2,7,0,0,0
Mapfre,Spain,41,Technology,2,3,,0,0,,,,0.103,8,0.82,0.102,1,26,0,0,0,Antonio,Huertas,M,0,4,0,0,0,0
Vestas,Germany,202,Appliances,4,5,,0,0,3,3,0.475,,24,11.4,0.475,1,36,82,0,82,Ben,van Beurden,M,5,4,7,0,0,0
DB Schenker,Germany,161,Telecoms,1,1,,0,0,,,,0.032,2,0.06,0.03,1,8,11,0,11,Adolfo,Kortregt,M,1,7,5,0,0,0
SuCo,UK,205,Appliances,2,2,,0,0,,,,0.124,5,0.62,0.124,1,16,0,0,0,James,Freeman,M,0,5,6,0,0,0
Quadrant,UK,419,Games,3,2,,0,0,,,,0.206,7,1.44,0.206,1,39,14,0,14,James,Freeman,M,4,2,7,0,0,0
Orlen,Poland,448,Oil,4,6,,8.758,0,,,,1.017,164,175.55,1.07,1,28,12,0,12,Kyle,Malier,M,1,5,9,1,0,0
AlphaTauri,Italy,42,Clothing,1,4,,0,0,,,,0.139,7,0.97,0.139,1,10,21,0,21,Dietrich,Mateschitz,M,1,6,8,1,0,0
Amazon,UnitedStates,182,Appliances,4,4,,0.678,0,,,,0.579,7,4.73,0.676,1,52,0,0,0,Jeff,Besoz,M,1,3,7,0,0,0
Remus,UK,377,Automotive,2,2,,0,0,,,,0.126,4,0.5,0.125,1,6,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Castrol,UK,100,Oil,2,1,,0,0.5,1,14,0.061,,2,0.12,0.06,1,2,44,0,44,James,Freeman,M,4,2,7,0,0,0
SuCo,UK,205,Appliances,2,5,,0,0,,,,0.136,14,1.9,0.136,1,28,50,0,50,James,Freeman,M,0,5,6,0,0,0
NGK,Japan,257,Automotive,3,3,,0,0,,,,0.195,8,1.56,0.195,1,9,16,0,16,Lana,Castle,F,4,5,7,0,0,0
Schaeffler,Germany,183,Automotive,1,5,,0.075,0,,,,0.118,13,1.61,0.124,1,6,9,0,9,Dieter,Zetsche,M,1,3,7,0,0,0
Richard Mille,Switzerland,53,Clothing,2,1,,0,0,4,5,0.337,,4,1.35,0.338,1,20,27,0,27,Kyle,Malier,M,1,5,9,1,0,0
HWA,Germany,193,Automotive,3,3,,0,0,,,,0.223,8,1.78,0.222,1,33,24,0,24,Dieter,Zetsche,M,1,3,7,0,0,0
Estrella Galicia,Spain,326,Alcoholic Drinks,4,5,,0,0,4,7,0.738,,23,16.97,0.738,1,16,98,0,98,James,Freeman,M,0,5,6,0,0,0
Orlen,Poland,449,Oil,2,3,,0,0,,,,0.121,6,0.73,0.122,1,10,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Blundstone,UK,241,Clothing,2,1,,0,0,,,,0.069,2,0.14,0.07,1,2,0,0,0,James,Freeman,M,0,5,6,0,0,0
Stihl,Austria,323,Appliances,3,5,,0,0,,,,0.253,24,6.07,0.253,1,3,22,0,22,James,Freeman,M,0,5,6,0,0,0
SKF,Sweden,443,Appliances,4,4,,0,0,,,,0.652,4,2.61,0.652,1,20,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Richard Mille,UK,63,Charity,1,3,,0.053,0,,,,0.059,4,0.29,0.072,1,11,12,0,12,Drake,Baldwin,M,2,7,6,1,0,0
SMP,RussianFederation,61,Automotive,4,2,,0,0,,,,0.206,6,1.24,0.207,1,56,87,0,87,Connor,King,M,1,6,5,0,0,0
Ajdini,Germany,230,Automotive,2,1,,0,0,2,8,0.146,,2,0.29,0.145,1,30,25,0,25,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Barracuda,UK,299,Automotive,2,2,,0,0,,,,0.083,5,0.42,0.084,1,4,23,0,23,James,Freeman,M,0,5,6,0,0,0
Renesas,Japan,163,Technology,4,5,,0,1.5,4,3,0.640,,24,15.36,0.64,1,52,15,0,15,Adolfo,Kortregt,M,1,7,5,0,0,0
Bandero,Japan,264,Alcoholic Drinks,3,1,,0.061,0,,,,0.105,2,0.27,0.135,1,48,0,0,0,Lana,Castle,F,4,5,7,0,0,0
Verizon,UnitedStates,405,Telecoms,2,5,,0,0,,,,0.171,24,4.1,0.171,1,18,15,0,15,Miles,Jacobsen,M,2,6,7,0,0,0
Ecstar,Japan,293,Automotive,2,4,,0,0,,,,0.236,5,1.18,0.236,1,12,31,0,31,James,Freeman,M,0,5,6,0,0,0
Verizon,UnitedStates,405,Telecoms,3,5,,0,0,,,,0.355,22,7.81,0.355,1,48,42,0,42,Miles,Jacobsen,M,2,6,7,0,0,0
Aero,UK,152,Appliances,3,1,,0,0,,,,0.133,3,0.4,0.133,1,9,28,0,28,Alan,Jope,M,1,2,2,1,0,0
Bandero,Japan,264,Alcoholic Drinks,4,1,,0,0.5,5,2,0.583,,2,1.17,0.585,1,12,57,0,57,Lana,Castle,F,4,5,7,0,0,0
Zent,Japan,136,Technology,4,5,,0,0,5,4,1.651,,13,21.46,1.651,1,20,34,0,34,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Wynn's,Germany,109,Automotive,4,2,,0,0,,,,0.452,6,2.71,0.452,1,56,84,0,84,James,Freeman,M,4,2,7,0,0,0
Pirelli,Italy,51,Automotive,4,2,,0,0,,,,0.352,5,1.76,0.352,1,68,0,0,0,Nathen,Bourdeau,M,1,3,6,0,0,0
Pirelli,Italy,55,Automotive,3,5,,0,0,,,,0.209,25,5.22,0.209,1,33,0,0,0,Jo,Kohler,F,2,2,4,1,0,0
Valpak,UnitedStates,210,Technology,4,2,,0,0,,,,0.197,4,0.79,0.198,1,52,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Inter Marche,France,373,Appliances,2,6,,41.034,0,,,,0.215,210,86.18,0.41,1,38,22,0,22,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Red Bull,Austria,268,Alcoholic Drinks,3,5,,0,0,1,12,0.157,,14,2.2,0.157,1,39,5,0,5,Dietrich,Mateschitz,M,0,5,6,0,0,0
Gallacher,UK,413,Technology,1,3,,0,0,,,,0.046,7,0.32,0.046,1,2,21,0,21,James,Freeman,M,4,2,7,0,0,0
Casa Andrea,Italy,383,Alcoholic Drinks,1,3,,0,0,,,,0.067,7,0.47,0.067,1,8,10,0,10,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Verizon,UnitedStates,405,Telecoms,3,1,,0,0,,,,0.118,3,0.35,0.117,1,9,47,0,47,Miles,Jacobsen,M,2,6,7,0,0,0
Motul,France,254,Oil,1,5,,0,0,,,,0.089,19,1.69,0.089,1,9,21,0,21,Lana,Castle,F,4,5,7,0,0,0
Total,France,331,Oil,3,5,,1.744,0,,,,0.234,23,7.13,0.31,1,39,58,0,58,James,Freeman,M,0,5,6,0,0,0
Huawai,China,252,Technology,1,4,,0.133,0,,,,0.062,10,0.75,0.075,1,3,25,0,25,James,Freeman,M,4,2,7,0,0,0
Alpine,France,154,Automotive,3,3,,0.083,0,,,,0.199,8,1.68,0.21,1,48,40,0,40,James,Freeman,M,4,2,7,0,0,0
Orlen,Poland,347,Oil,2,5,,0,0,,,,0.196,10,1.96,0.196,1,10,0,0,0,Daniel,Obajtek,M,4,2,7,0,0,0
Monster,Netherlands,277,Alcoholic Drinks,2,2,,0,0,,,,0.142,3,0.43,0.143,1,34,22,0,22,James,Freeman,M,0,5,6,0,0,0
Honda,Japan,10,Automotive,2,1,,0,0,,,,0.055,3,0.16,0.053,1,40,12,0,12,Takahiro,Hachigo,M,4,1,8,0,0,0
Siemens,Germany,15,Technology,3,2,,0,0,,,,0.162,3,0.49,0.163,1,45,66,0,66,Joe,Kaeser,M,1,3,2,0,0,0
Estrella Galicia,Spain,36,Alcoholic Drinks,3,3,,0,0,2,6,0.185,,9,1.66,0.184,1,24,0,0,0,Ignacio,Rivera,M,0,1,3,0,0,0
Amazon,UnitedStates,181,Appliances,1,5,,0,0.5,3,3,0.417,,21,8.76,0.417,1,5,18,0,18,Jeff,Besoz,M,3,5,8,0,0,0
Stihl,Austria,323,Appliances,2,5,,0,0,,,,0.180,15,2.7,0.18,1,20,5,0,5,James,Freeman,M,0,5,6,0,0,0
Youse,Brazil,269,Banking,1,1,,0,0,1,10,0.056,,2,0.11,0.055,1,20,0,0,0,James,Freeman,M,0,5,6,0,0,0
Oracle,UnitedStates,393,Technology,5,6,,9.800,0,,,,1.546,217,345.28,1.591,1,100,30,0,30,Darrius,Hoogtelinck,M,2,7,1,0,0,0
RCI Bank,UK,102,Banking,3,1,,0,3.2,4,4,0.477,,4,1.91,0.478,1,6,66,0,66,James,Freeman,M,4,2,7,0,0,0
Ponos,Italy,65,Food,3,1,,0,0,1,16,0.097,,3,0.29,0.097,1,30,68,0,68,James,Freeman,M,4,2,7,0,0,0
Juncos,Brazil,445,Automotive,2,4,,0,0,,,,0.167,15,2.51,0.167,1,32,33,0,33,Kyle,Malier,M,1,5,9,1,0,0
Velo,UK,434,Alcoholic Drinks,3,1,,0,0,,,,0.149,3,0.45,0.15,1,9,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Michelin,France,170,Automotive,1,1,,0,0,,,,0.043,2,0.09,0.045,1,1,0,0,0,James,Freeman,M,4,2,7,0,0,0
Mission Winnow,UnitedStates,396,Charity,3,3,,0,0,1,10,0.143,,6,0.86,0.143,1,48,0,0,0,James,Freeman,M,0,5,6,0,0,0
Johnnie Walker,UK,99,Alcoholic Drinks,2,3,,0,0,,,,0.073,6,0.44,0.073,1,6,41,0,41,James,Freeman,M,4,2,7,0,0,0
Gillette,UnitedStates,150,Appliances,4,4,,0,0,,,,0.255,11,2.8,0.255,1,44,0,0,0,James,Freeman,M,0,5,6,0,0,0
Rich Energy,UK,38,Alcoholic Drinks,2,1,,0,0,,,,0.079,2,0.16,0.08,1,10,0,0,0,William,Storey,M,2,4,5,0,0,0
Blundstone,UK,241,Clothing,2,6,,12.019,0,,,,0.399,164,77.46,0.472,1,34,14,0,14,James,Freeman,M,0,5,6,0,0,0
K-Line,UnitedStates,414,Appliances,2,1,,0,0,,,,0.056,4,0.22,0.055,1,38,25,0,25,James,Freeman,M,4,2,7,0,0,0
Denso,Japan,87,Technology,5,2,,0.356,0,,,,0.501,5,2.86,0.572,1,45,26,0,26,James,Freeman,M,4,2,7,0,0,0
Yokohama,Japan,265,Automotive,1,5,,0,0,3,7,0.772,,10,7.72,0.772,1,15,17,0,17,Lana,Castle,F,4,5,7,0,0,0
Red Bull,Austria,284,Alcoholic Drinks,4,2,,0,0,,,,0.347,4,1.39,0.348,1,68,0,0,0,James,Freeman,M,0,5,6,0,0,0
Williams Racing,UK,332,Automotive,2,4,,0,0,,,,0.212,12,2.54,0.212,1,36,18,0,18,James,Freeman,M,0,5,6,0,0,0
JTEKT,Japan,139,Technology,1,4,,0.117,0,,,,0.101,15,1.63,0.109,1,8,11,0,11,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Advan,Japan,248,Automotive,4,4,,0.866,0,,,,0.524,7,4.53,0.647,1,36,0,0,0,Aguri,Suzuki,M,0,5,6,0,0,0
Alpine,France,154,Automotive,1,3,,0.043,0,,,,0.062,4,0.29,0.072,1,14,5,0,5,James,Freeman,M,4,2,7,0,0,0
Kimoa,Spain,335,Clothing,2,4,,0,0,,,,0.150,5,0.75,0.15,1,34,26,0,26,James,Freeman,M,0,5,6,0,0,0
OilKontrol,RussianFederation,226,Oil,3,1,,0.039,0,,,,0.108,3,0.36,0.12,1,6,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
ROKit,UK,30,Telecoms,1,1,,0,0,,,,0.048,3,0.14,0.047,1,9,16,0,16,Jonathan,Kendrick,M,4,7,6,0,0,0
HWA,Germany,192,Automotive,1,3,,0,0,,,,0.074,4,0.3,0.075,1,12,6,0,6,Dieter,Zetsche,M,1,3,7,0,0,0
HP Tuners,UK,400,Oil,3,5,,0,0,,,,0.282,23,6.49,0.282,1,27,54,0,54,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Envision,UK,175,Technology,3,5,,0,0,,,,0.341,19,6.48,0.341,1,9,40,0,40,Adolfo,Kortregt,M,1,7,5,0,0,0
Rich Energy,UK,50,Alcoholic Drinks,4,1,,0,0,4,2,0.425,,3,1.27,0.423,1,40,24,0,24,Davion,Leech,M,3,6,6,0,0,0
Siemens,Germany,15,Technology,1,6,,0,0,,,,0.104,38,3.95,0.104,1,2,0,0,0,Joe,Kaeser,M,1,3,2,0,0,0
Total,France,116,Oil,3,4,,0,0,,,,0.170,6,1.02,0.17,1,27,33,0,33,James,Freeman,M,4,2,7,0,0,0
Mission Winnow,UnitedStates,341,Charity,5,4,,0,0,,,,0.597,13,7.76,0.597,1,70,65,0,65,Andy,Palmer,M,4,2,7,0,0,0
Alpine,France,425,Automotive,5,2,,0,0,,,,0.335,3,1.01,0.337,1,80,62,0,62,James,Freeman,M,4,2,7,0,0,0
Flex Box,UnitedStates,91,Technology,3,5,,0,0,2,10,0.267,,24,6.41,0.267,1,9,14,0,14,James,Freeman,M,4,2,7,0,0,0
Petronas,Malaysia,5,Oil,1,3,,0,0,,,,0.046,8,0.37,0.046,1,11,11,0,11,Muhammad,Aziz,M,1,5,9,0,0,0
Pakelo,Italy,379,Food,4,6,,0,0,,,,0.701,52,36.45,0.701,1,72,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Xiaomi,China,219,Games,3,1,,0,0,,,,0.095,2,0.19,0.095,1,42,55,0,55,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Peugeot,France,354,Automotive,2,2,,0,0,,,,0.068,7,0.48,0.069,1,18,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Ajdini,Germany,389,Automotive,5,4,,1.358,0,,,,0.637,10,7.73,0.773,1,50,68,0,68,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Honda,Japan,286,Automotive,3,2,,0,0,,,,0.196,4,0.78,0.195,1,3,46,0,46,James,Freeman,M,0,5,6,0,0,0
Raphaelle,Switzerland,386,Fashion,3,3,,0.881,0,5,1,0.763,,8,6.98,0.872,1,39,41,0,41,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Esponsorama,Spain,310,Automotive,1,6,,14.021,0,,,,0.180,204,50.74,0.249,1,18,23,0,23,James,Freeman,M,0,5,6,0,0,0
MyWorld,UnitedStates,207,Security,1,5,,0,0,2,10,0.238,,19,4.52,0.238,1,9,5,0,5,James,Freeman,M,1,6,8,1,0,0
Schaeffler,Germany,183,Automotive,5,6,,11.653,0,,,,1.557,76,129.98,1.71,1,25,38,0,38,Dieter,Zetsche,M,1,3,7,0,0,0
Singha,Thailand,48,Alcoholic Drinks,3,1,,0.031,0,,,,0.139,4,0.59,0.148,1,6,0,0,0,Luciano,Couwenhoven,M,1,3,9,0,0,0
Busuu,UK,218,Games,5,6,,0,0,,,,1.756,24,42.14,1.756,1,85,85,0,85,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Wave Italy,Italy,380,Clothing,2,4,,0,0,,,,0.166,6,1,0.167,1,12,26,0,26,Darrius,Hoogtelinck,M,2,7,1,0,0,0
WithU,France,319,Oil,2,4,,0,0,,,,0.202,12,2.42,0.202,1,24,34,0,34,James,Freeman,M,0,5,6,0,0,0
Blundstone,UK,241,Clothing,2,1,,0,0,1,14,0.079,,4,0.32,0.08,1,6,40,0,40,James,Freeman,M,0,5,6,0,0,0
Motul,France,426,Oil,1,6,,0,0,,,,0.165,20,3.3,0.165,1,3,0,0,0,Lana,Castle,F,4,5,7,0,0,0
D'Station,Japan,244,Automotive,2,5,,0,0,,,,0.124,13,1.61,0.124,1,18,41,0,41,James,Freeman,M,0,5,6,0,0,0
Tata,India,274,Automotive,1,1,,0.024,0,2,6,0.170,,4,0.7,0.175,1,19,9,0,9,James,Freeman,M,0,5,6,0,0,0
Monster,UnitedStates,59,Alcoholic Drinks,1,2,,0,0,,,,0.066,4,0.26,0.065,1,6,7,0,7,Drake,FitzGerald,M,3,6,8,1,0,0
Flexbox,UnitedStates,360,Appliances,3,2,,0,0,,,,0.175,4,0.7,0.175,1,15,0,0,0,James,Freeman,M,0,5,6,0,0,0
Zent,Japan,136,Technology,2,5,,0,0,,,,0.202,13,2.63,0.202,1,2,13,0,13,Darrius,Hoogtelinck,M,2,7,1,0,0,0
AlphaTauri,Italy,35,Clothing,1,5,,0,0,,,,0.103,17,1.75,0.103,1,8,25,0,25,Dietrich,Mateschitz,M,2,4,9,0,0,0
Le Lit National,France,234,Appliances,4,5,,0,0,5,5,0.968,,13,12.58,0.968,1,68,73,0,73,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Winway,UK,382,Technology,5,4,,0.145,0,,,,0.906,4,3.77,0.942,1,100,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Martini,Italy,16,Alcoholic Drinks,3,2,,0.738,0,,,,0.176,7,1.97,0.281,1,21,58,0,58,Bruno,Muller,M,2,3,6,0,0,0
Arrow,UnitedStates,404,Automotive,5,1,,0,0,3,4,0.281,,3,0.84,0.28,1,90,91,0,91,James,Freeman,M,4,2,7,0,0,0
Autonation,UnitedStates,439,Automotive,3,5,,0,0,,,,0.235,10,2.35,0.235,1,33,26,0,26,Kyle,Malier,M,1,5,9,1,0,0
USAF,UnitedStates,410,Security,2,3,,0.014,0,,,,0.120,5,0.61,0.122,1,36,19,0,19,James,Freeman,M,4,2,7,0,0,0
Richard Mille,Switzerland,423,Clothing,5,4,,1.133,0,,,,0.674,9,7.2,0.8,1,20,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Petronas,Malaysia,301,Oil,4,2,,0,0,,,,0.348,5,1.74,0.348,1,76,31,0,31,James,Freeman,M,0,5,6,0,0,0
Monster,Netherlands,320,Alcoholic Drinks,3,3,,0,0,,,,0.136,10,1.36,0.136,1,45,0,0,0,James,Freeman,M,0,5,6,0,0,0
Lazersafe,UK,239,Technology,5,4,,0,0,,,,0.963,15,14.44,0.963,1,45,98,0,98,James,Freeman,M,0,5,6,0,0,0
Ecstar,Japan,293,Automotive,3,2,,0,0,,,,0.152,3,0.46,0.153,1,30,48,0,48,James,Freeman,M,0,5,6,0,0,0
AMG,Germany,14,Automotive,2,3,,0,0,,,,0.120,7,0.84,0.12,1,36,8,0,8,Dieter,Zetsche,M,1,6,4,0,0,0
Flex Box,UnitedStates,91,Technology,5,2,,0,0,,,,0.647,3,1.94,0.647,1,90,35,0,35,James,Freeman,M,4,2,7,0,0,0
USAF,UnitedStates,410,Security,4,2,,0,0,,,,0.426,5,2.13,0.426,1,32,77,0,77,James,Freeman,M,4,2,7,0,0,0
PNC Bank,UnitedStates,68,Banking,5,5,,0.243,0,1,15,0.181,,20,3.86,0.193,1,45,66,0,66,James,Freeman,M,4,2,7,0,0,0
Huski Chocolate,Sweden,24,Alcoholic Drinks,3,3,,0,0,,,,0.169,10,1.69,0.169,1,57,5,0,5,Linus,Wessman,M,3,5,8,0,0,0
Mobil 1,UnitedStates,108,Oil,3,3,,0,0,,,,0.173,10,1.73,0.173,1,21,0,0,0,James,Freeman,M,4,2,7,0,0,0
UPS,UnitedStates,56,Telecoms,3,1,,0,3.4,3,9,0.166,,4,0.66,0.165,1,36,0,0,0,Deven,Garnier,M,1,7,7,0,1,0
ESMotor,UK,195,Automotive,1,1,,0,0,,,,0.033,3,0.1,0.033,1,16,0,0,0,James,Freeman,M,0,5,6,0,0,0
Jota,UnitedStates,371,Automotive,5,6,,0.403,0,,,,1.914,145,277.93,1.917,1,40,19,0,19,James,Freeman,M,0,5,6,0,0,0
VolkerWessels,Netherlands,387,Technology,2,2,,0,0,,,,0.090,4,0.36,0.09,1,18,8,0,8,Darrius,Hoogtelinck,M,2,7,1,0,0,0
