First Name,Last Name,Gender,Team,Investor,Nationality,DOB,Cost Focus,Patience,Happiness,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration
Amato,Ferrari,M,58,,Italy,18/04/1966,4,4,95,2,2,9,0,0,0,75,5
Angelo,Rosin,M,62,,Italy,05/05/1960,2,5,95,0,8,3,1,0,7,80,5
Luca,de Meo,M,55,,Italy,13/06/1967,4,4,95,0,4,2,0,0,0,75,5
Elton,Julian,M,59,,UnitedStates,16/08/1974,5,5,98,2,8,9,0,0,0,65,5
Colin,Kolles,M,57,,Romania,13/12/1967,4,4,98,0,7,11,1,0,2,75,5
Roger,Penske,M,61,,UnitedStates,03/07/1937,4,4,90,2,6,8,0,0,0,85,5
Wojciech,Smiechowski,M,63,,Poland,04/05/1965,3,5,98,3,7,9,3,0,0,80,5
James,Glickenhaus,M,56,,UnitedStates,24/07/1950,5,5,95,1,3,5,1,0,0,80,5
Oliver,Mintzlaff,M,3,,Germany,19/08/1975,1,3,90,3,3,11,0,0,0,65,5
John,Elkann,M,10,,UnitedStates,01/04/1976,4,3,95,1,1,4,0,0,4,70,5
Oliver,Mintzlaff,M,8,,Germany,19/08/1975,1,3,90,3,3,11,0,0,0,65,5
