First Name,Last Name,Gender,Team,Nationality,DOB,Drivers,Engineers,Mechanics,Favoured Location,Wages,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration
Roger,Penske,M,33,UnitedStates,02/04/1938,20,20,20,UnitedStates,0.2,1,0,6,0,0,3,75,5
Chip,Ganassi,M,34,UnitedStates,30/06/1958,20,20,20,UnitedStates,0.2,0,4,7,0,0,4,75,5
Chip,Ganassi,M,35,UnitedStates,30/06/1958,20,20,20,UnitedStates,0.2,0,4,7,0,0,4,75,5
Michael,Andretti,M,36,UnitedStates,25/12/1962,20,20,20,UnitedStates,0.2,2,7,9,0,0,3,75,4
Michael,Andretti,M,37,UnitedStates,03/10/1962,20,20,20,UnitedStates,0.2,3,3,8,1,0,4,75,4
Bobby,Rahal,M,38,UnitedStates,14/09/1954,20,20,20,UnitedStates,0.2,1,6,2,0,0,5,75,4
Sam,Schmidt,M,39,UnitedStates,12/10/1965,20,20,20,UnitedStates,0.2,4,1,6,0,0,0,75,4
Dale,Coyne,M,40,UnitedStates,17/10/1955,20,20,20,UnitedStates,0.2,1,2,7,0,0,0,75,4
AJ,Foyt,M,41,UnitedStates,17/10/1935,20,20,20,UnitedStates,0.2,0,1,2,0,0,0,80,5
Trevor,Carlin,M,42,UK,14/08/1965,20,20,20,UnitedStates,0.2,0,1,7,0,0,0,65,5
Tim,Broyles,M,43,UnitedStates,19/12/1973,20,20,20,UnitedStates,0.2,1,7,4,0,0,0,55,4
Al,Unser Jr,M,44,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Al,Unser Jr,M,45,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Trevor,Carlin,M,46,UK,14/08/1965,20,20,20,UnitedStates,0.2,0,1,7,0,0,0,65,5
Al,Unser Jr,M,47,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Al,Unser Jr,M,48,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Al,Unser Jr,M,49,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Al,Unser Jr,M,50,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
Al,Unser Jr,M,51,UnitedStates,19/04/1962,10,10,10,UnitedStates,0.2,3,4,6,0,0,4,60,5
John,Litjens,M,52,Netherlands,04/12/1966,20,20,20,Germany,0.2,1,3,1,0,0,0,75,4
Pedro,de la Rosa,M,53,Spain,06/11/1972,20,20,20,Japan,0.2,0,2,8,1,0,0,55,4
Pedro,de la Rosa,M,54,Spain,06/11/1972,20,20,20,Germany,0.2,1,4,1,0,0,0,75,5
Pedro,de la Rosa,M,55,Spain,06/11/1972,20,20,20,France,0.2,4,2,3,1,0,4,55,4
Pedro,de la Rosa,M,56,Spain,06/11/1972,20,20,20,France,0.2,2,1,3,0,0,1,55,4
Pedro,de la Rosa,M,57,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,58,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,59,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,60,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,61,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,62,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4
Pedro,de la Rosa,M,63,Spain,06/11/1972,20,20,20,UK,0.2,3,7,2,0,0,0,55,4

