First Name,Last Name,Gender,Team,Nationality,DOB,Backstory,Reputation,Race management,Financial,Loyalty,Job Security,Contract Start,Contract End,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships
Gil,de Ferran,M,39,Brazil,11/11/1967,Ex-Driver,50,65,50,75,80,2013,2025,2,10,8,1,0,8,55,5,243,62,79,53,24,10,1,1291,2
Dale,Coyne,M,40,UnitedStates,02/01/1954,Business,22,1,6,16,80,1998,2030,1,8,6,0,0,8,65,5,0,0,0,0,0,0,0,0,0
AJ,Foyt,M,41,UnitedStates,08/10/1935,Business,45,16,16,17,80,1998,2025,1,8,5,1,0,8,85,3,0,0,0,0,0,0,0,0,0
John,Brummer,M,47,UnitedStates,12/03/1970,Ex-Engineer,45,15,15,15,80,2015,2030,4,7,1,1,0,8,65,5,0,0,0,0,0,0,0,0,0
Tim,Broyles,M,43,UnitedStates,11/03/1973,Business,15,11,17,6,80,2003,2025,1,1,2,1,0,8,65,2,0,0,0,0,0,0,0,0,0
Michael,Andretti,M,44,UnitedStates,17/02/1962,Ex-Engineer,13,7,5,12,80,1998,2030,1,5,3,0,0,8,75,1,0,0,0,0,0,0,0,0,0
Michael,Andretti,M,45,UnitedStates,17/02/1962,Ex-Engineer,13,7,5,12,80,1998,2030,1,5,3,0,0,8,75,1,0,0,0,0,0,0,0,0,0
Dan,Andersen,M,46,UnitedStates,12/03/1960,Ex-Engineer,25,18,13,14,80,2011,2030,4,7,1,1,0,8,55,5,0,0,0,0,0,0,0,0,0
Ricardo,Juncos,M,42,Argentina,14/11/1963,Ex-Engineer,60,70,70,95,95,2007,2030,2,10,8,1,0,8,66,3,156,12,44,32,12,9,1,1167,1
Henry,Malukas,M,48,UnitedStates,10/11/1965,Ex-Driver,10,20,35,90,90,2011,2030,1,7,4,1,0,8,64,4,156,12,44,32,12,9,1,1167,1
Michael,Duncalfe,M,49,Canada,07/10/1981,Business,30,40,40,90,90,2011,2030,2,10,8,1,0,8,59,2,156,12,44,32,12,9,1,1167,1
Ricardo,Juncos,M,50,Argentina,14/11/1963,Ex-Engineer,60,70,70,95,95,2007,2030,2,10,8,1,0,8,66,3,156,12,44,32,12,9,1,1167,1
Trevor,Carlin,M,51,UK,21/04/1967,Ex-Driver,9,6,5,11,100,2003,2030,3,1,11,0,0,0,56,3,79,1,1,1,20,16,0,49,0
Yoshiaki,Kinoshita,M,52,Japan,14/10/1956,Ex-Engineer,82,20,16,14,80,2008,2025,0,5,5,1,0,10,65,2,156,12,44,32,12,9,1,1167,1
Jean-Marc,Finot,M,53,France,14/08/1967,Business,80,60,70,70,80,2014,2028,2,1,5,0,0,0,70,1,156,12,44,32,12,9,1,1167,1
Vincent,Vosse,M,60,Belgium,05/01/1972,Ex-Driver,50,50,50,90,90,2013,2030,0,3,7,0,0,0,70,4,156,12,44,32,12,9,1,1167,1
Zak,Brown,M,54,UnitedStates,04/03/1973,Ex-Driver,34,20,16,14,80,2008,2030,4,6,7,0,0,1,65,2,156,12,44,32,12,9,1,1167,1
Amato,Ferrari,M,58,Italy,18/04/1966,Ex-Driver,34,20,16,14,80,2008,2030,4,6,7,0,0,1,65,2,156,12,44,32,12,9,1,1167,1
Andrea,Piccini,M,62,Italy,12/12/1978,Business,25,60,75,95,95,2008,2030,1,8,6,1,0,0,65,5,156,12,44,32,12,9,1,1167,1
Jesse,Glickenhaus,M,56,UnitedStates,15/09/1980,Legal,75,20,16,14,80,2014,2030,2,4,11,0,0,0,65,2,156,12,44,32,12,9,1,1167,1
Elton,Julian,M,59,UnitedStates,16/08/1974,Ex-Driver,65,65,75,99,99,1998,2030,2,9,8,0,0,3,75,5,156,12,44,32,12,9,1,1167,1
Colin,Kolles,M,57,Romania,13/12/1967,Business,50,70,70,99,99,2003,2030,0,1,5,3,0,0,75,5,156,12,44,32,12,9,1,1167,1
Tim,Cindric,M,61,UnitedStates,20/04/1968,Business,55,75,70,90,90,2014,2030,2,2,6,1,0,0,75,5,156,12,44,32,12,9,1,1167,1
Jakub,Smiechowski,M,63,Poland,11/10/1991,Ex-Engineer,36,20,16,14,80,2014,2025,5,4,11,0,0,0,65,2,156,12,44,32,12,9,1,1167,1
Philippe,Sinault,M,55,France,12/01/1960,Ex-Engineer,50,50,50,90,90,2003,2030,2,10,4,1,0,5,65,2,156,12,44,32,12,9,1,1167,1
Eric,Boullier,M,,France,09/11/1973,Ex-Engineer,43,12,11,7,19,,,1,3,10,0,0,0,65,5,55,0,6,0,3,1,0,200,0
Maurizio,Arrivabene,M,,Italy,09/11/1957,Ex-Engineer,43,12,11,7,19,,,1,3,10,0,0,0,65,5,55,0,6,0,3,1,0,200,0
Davide,Brivio,M,,Italy,17/07/1964,Ex-Engineer,65,15,15,15,15,,,1,3,10,0,0,0,65,5,60,0,6,0,3,1,0,200,0
Marcin,Budkowski,M,,Poland,22/03/1976,Ex-Engineer,65,15,15,15,15,,,1,3,10,0,0,0,65,5,60,0,6,0,3,1,0,200,0
Brian,Barnhart,M,,UnitedStates,04/07/1958,Ex-Engineer,70,15,15,15,15,,,1,3,10,0,0,0,65,5,75,0,6,0,3,1,0,200,0
Mattia,Binotto,M,,Italy,03/11/1969,Ex-Engineer,81,19,19,11,100,,,1,1,11,1,0,2,65,5,21,0,0,0,5,2,0,10,0
