Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Fuel,Petronas,10,1,8,4,2,NA,NA,,,,,,,,,,NoseHeight = .05; RearPackage = 0,,,1,,,5;9;10;11;12;13;14;15;18;19;20;21;22,
Fuel,Shell,11,2,4,0,6,NA,NA,,,,,,,,,,NoseHeight = 0; RearPackage = .1,,,1,,,2,
Fuel,Mobil 1,12,3,8,2,4,NA,NA,,,,,,,,,,NoseHeight = 0; RearPackage = .175,,,1,,,2;4;5;11;12,
Fuel,Castrol,13,4,4,6,0,NA,NA,,,,,,,,,,NoseHeight = .25; RearPackage = 0,,,1,,,2;5;11;12;16,
Fuel,BP,14,5,6,2,2,NA,NA,,,,,,,,,,NoseHeight = .25; RearPackage = .25,,,1,,,2;5;11;12;16,
ChassisMaterials,Mercedes,15,1,11,NA,NA,3,3,,,,,,,,,,NoseHeight = .15; RearPackage = .15,,,1,,,3;5;8;9;10;11;12;13;14;15;18;19;20;21;22;23;24;25;26;27;28;29;30,
ChassisMaterials,Ferrari,16,2,11,NA,NA,4,4,,,,,,,,,,NoseHeight = .075; RearPackage = .075,,,1,,,2;3;4;6;7;8;9;13;14;16;17;18;22;23;27;28;31,
ChassisMaterials,Red Bull,17,3,10,NA,NA,6.5,6.5,,,,,,,,,,NoseHeight = .03; RearPackage = .03,,,1,,,2;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;23;24;25;26;28;29;30;31,
ChassisMaterials,Renault,18,4,11,NA,NA,1,6,,,,,,,,,,NoseHeight = .1; RearPackage = .25,,,1,,,2;3;4;5;6;7;8;10;12;16;20;24;31,
ChassisMaterials,Independent,19,5,11,NA,NA,8,0,,,,,,,,,,NoseHeight = .25; RearPackage = .1,,,1,,,2;3;5;9;10;11,
Engine,Mechachrome,20,6,12,10,2,NA,NA,,,,,,,,,,,30,70,2,,,,
Engine,Mechachrome,21,6,8,4,4,NA,NA,,,,,,,,,,,0,10,2,,,,
Engine,Mechachrome,22,6,10,4,6,NA,NA,,,,,,,,,,,20,50,2,,,,
Engine,Mechachrome,23,6,5,2,3,NA,NA,,,,,,,,,,,5,20,2,,,,
ECU,Pirelli,24,1,8,NA,NA,9,6,,,,,,,,,,,,,2,,,,
ECU,Pirelli,25,1,5,NA,NA,6,4,,,,,,,,,,,,,2,,,,
ECU,Pirelli,26,1,3,NA,NA,3,3,,,,,,,,,,,,,2,,,,
ECU,Pirelli,27,1,3,NA,NA,4,2,,,,,,,,,,,,,2,,,,
Fuel,Total,28,6,9.5,6.5,6.5,NA,NA,,,,,,,,,,,,,2,,,,
Fuel,Shell,29,2,2.5,3,3,NA,NA,,,,,,,,,,,,,2,,,,
Fuel,Kroon,30,7,7,8,2.5,NA,NA,,,,,,,,,,,,,2,,,,
Fuel,Lucas Oil,31,8,9.5,11,1,NA,NA,,,,,,,,,,,,,2,,,,
ChassisMaterials,Dallara,32,6,10,NA,NA,5,5,,,,,,,,,,,,,2,,,,
ChassisMaterials,Dallara,33,6,5,NA,NA,3,3,,,,,,,,,,,,,2,,,,
ChassisMaterials,Dallara,34,6,2,NA,NA,1.5,1.5,,,,,,,,,,,,,2,,,,
ChassisMaterials,Dallara,35,6,10,NA,NA,0,10,,,,,,,,,,,,,2,,,,
Engine,Mechachrome,36,6,9.5,10,2,NA,NA,,,,,,,,,,,14,34,3,,,,
Engine,Mechachrome,37,6,6.6,4,4,NA,NA,,,,,,,,,,,0,5,3,,,,
Engine,Mechachrome,38,6,8,4,6,NA,NA,,,,,,,,,,,10,24,3,,,,
ECU,Pirelli,39,1,3,NA,NA,8,8,,,,,,,,,,,,,3,,,,
ECU,Pirelli,40,1,3,NA,NA,6,8,,,,,,,,,,,,,3,,,,
ECU,Pirelli,41,1,3,NA,NA,10,4,,,,,,,,,,,,,3,,,,
Fuel,Total,42,6,4,4.5,4,NA,NA,,,,,,,,,,,,,3,,,,
Fuel,Shell,43,2,3.5,3,7.5,NA,NA,,,,,,,,,,,,,3,,,,
Fuel,Kroon,44,7,3,3,6.5,NA,NA,,,,,,,,,,,,,3,,,,
ChassisMaterials,Dallara,45,6,7,NA,NA,5,5,,,,,,,,,,,,,3,,,,
ChassisMaterials,Dallara,46,6,3,NA,NA,3,3,,,,,,,,,,,,,3,,,,
ChassisMaterials,Dallara,47,6,1,NA,NA,1.5,1.5,,,,,,,,,,,,,3,,,,
Engine,Honda,48,4,7,8,8,NA,NA,,,,,,,,,,,20,50,4,,,32;33;39;41;42;43,
Engine,Chevrolet,49,7,5,5,6,NA,NA,,,,,,,,,,,10,30,4,,,34;35;36;37;44,
Engine,Mercedes,50,1,3,3,3,NA,NA,,,,,,,,,,,0,20,4,,,,
Engine,Toyota,51,8,2,2,1,NA,NA,,,,,,,,,,,0,10,4,,,,
ECU,Firestone,52,6,3,NA,NA,6,3,,,,,,,,,,,,,4,,,,
ECU,Firestone,53,6,3,NA,NA,3,6,,,,,,,,,,,,,4,,,,
ECU,Firestone,54,6,2,NA,NA,3,3,,,,,,,,,,,,,4,,,,
ECU,Firestone,55,6,1.5,NA,NA,2,2,,,,,,,,,,,,,4,,,,
Fuel,Shell,56,2,3,3,2,NA,NA,,,,,,,,,,,,,4,,,,
Fuel,Mobil 1,57,3,3,2,3,NA,NA,,,,,,,,,,,,,4,,,32;33,
Fuel,Lucas Oil,58,8,2,2,2,NA,NA,,,,,,,,,,,,,4,,,,
Fuel,Total,59,6,3.5,5,0,NA,NA,,,,,,,,,,,,,4,,,,
ChassisMaterials,Dallara,60,6,8,NA,NA,7,7,,,,,,,,,,,,,4,,,,
ChassisMaterials,Dallara,61,6,3.5,NA,NA,5,5,,,,,,,,,,,,,4,,,,
ChassisMaterials,Dallara,62,6,2.5,NA,NA,3,3,,,,,,,,,,,,,4,,,,
ChassisMaterials,Dallara,63,6,2,NA,NA,1,1,,,,,,,,,,,,,4,5,,,
Engine,Advanced Engine Research,64,12,5.5,5,5,NA,NA,,,,,,,,,,,20,40,5,,,,
Engine,Toyota,65,8,4,3,3,NA,NA,,,,,,,,,,,10,20,5,,,32;33;34;35;36;37;39;41;42;43;44;45;46;47;48;49;50,
Engine,Independent,66,9,3,1.5,1.5,NA,NA,,,,,,,,,,,0,10,5,,,32;33;34;35;36;37;39;41;42;43;44;45;46;47;48;49;50,
ECU,Cooper,67,10,3,NA,NA,6,3,,,,,,,,,,,,,5,,,,
ECU,Cooper,68,10,3,NA,NA,3,6,,,,,,,,,,,,,5,,,,
ECU,Cooper,69,10,2,NA,NA,3,3,,,,,,,,,,,,,5,,,,
Fuel,Lucas Oil,70,8,3,3,2,NA,NA,,,,,,,,,,,,,5,,,,
Fuel,Total,71,6,3,2,3,NA,NA,,,,,,,,,,,,,5,,,,
Fuel,Shell,72,2,2,2,2,NA,NA,,,,,,,,,,,,,5,,,,
ChassisMaterials,Dallara,73,6,7,NA,NA,6,6,,,,,,,,,,,,,5,,,,
ChassisMaterials,Dallara,74,6,3,NA,NA,4,4,,,,,,,,,,,,,5,,,,
ChassisMaterials,Dallara,75,6,2,NA,NA,2,2,,,,,,,,,,,,,5,,,,
Battery,TAG,76,1,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,1,,,,
Battery,Renault,77,2,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,1,,,,
Battery,Magnet Marelli,78,3,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,1,,,,
Battery,Mercedes,79,4,1,NA,NA,NA,NA,10,70,0.75,0.7,,,,,,,,,1,,,,
Battery,McLaren,80,5,1,NA,NA,NA,NA,30,60,0.5,0.85,,,,,,,,,1,,,,
Battery,McLaren,81,5,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,2,,,,
Battery,Renault,82,2,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,2,,,,
Battery,Magneti Marelli,83,3,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,2,,,,
Battery,TAG,84,5,1,NA,NA,NA,NA,30,60,0.65,0.7,,,,,,,,,2,,,,
Battery,McLaren,85,5,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,3,,,,
Battery,Panasonic,86,6,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,3,,,,
Battery,McLaren,87,5,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,3,,,,
Battery,Panasonic,88,6,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,4,,,,
Battery,McLaren,89,5,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,4,,,,
Battery,Magneti Marelli,90,3,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,4,,,,
Battery,TAG,91,5,1,NA,NA,NA,NA,30,60,0.65,0.7,,,,,,,,,4,,,,
Battery,McLaren,92,5,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,5,,,,
Battery,Panasonic,93,6,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,5,,,,
Battery,Magneti Marelli,94,3,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,5,,,,
Battery,Magneti Marelli,95,3,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,6,,,,
Battery,Panasonic,96,6,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,6,,,,
Battery,McLaren,97,5,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,6,,,,
Battery,Magneti Marelli,98,3,1,NA,NA,NA,NA,30,70,0.65,0.7,,,,,,,,,6,,,,
Battery,Panasonic,99,6,1,NA,NA,NA,NA,0,90,0.4,0.6,,,,,,,,,7,,,,
Battery,McLaren,100,1,1,NA,NA,NA,NA,40,0,0.9,1,,,,,,,,,7,,,,
Battery,Magneti Marelli,101,3,1,NA,NA,NA,NA,20,40,0.7,0.8,,,,,,,,,7,,,,
Engine,Toyota,102,8,20,8,8,NA,NA,,,,,,,,,,,60,100,6,,,53;54;55;56;57;58;59;60;61;62;63,
Engine,Gibson,103,13,15,6,6,NA,NA,,,,,,,,,,,40,80,6,,,52,
Engine,Peugeot,104,16,10,4,4,NA,NA,,,,,,,,,,,20,60,6,,,52;54,
Engine,Independent,105,9,5,2,2,NA,NA,,,,,,,,,,,10,40,6,,,52;53,
ECU,Michelin,106,3,11,NA,NA,8,8,,,,,,,,,,,,,6,,,,
ECU,Dunlop,107,9,11,NA,NA,10,6,,,,,,,,,,,,,6,,,,
ECU,Bridgestone,108,2,8,NA,NA,6,4,,,,,,,,,,,,,6,,,,
ECU,Pirelli,109,1,6,NA,NA,3,3,,,,,,,,,,,,,6,,,,
Fuel,Shell,110,2,12.5,6.5,7.5,NA,NA,,,,,,,,,,,,,6,,,,
Fuel,Total,111,6,11.5,6.5,6.5,NA,NA,,,,,,,,,,,,,6,,,,
Fuel,Motul,112,10,4.5,3,3,NA,NA,,,,,,,,,,,,,6,,,,
Fuel,Mobil 1,113,3,9,8,2.5,NA,NA,,,,,,,,,,,,,6,,,,
ChassisMaterials,Toyota,114,10,18.4,NA,NA,8,8,,,,,,,,,,,,,6,,,53;54;55;56;57;58;59;60;61;62;63,
ChassisMaterials,Oreca,115,15,13.8,NA,NA,6,6,,,,,,,,,,,,,6,,,,
ChassisMaterials,Peugeot,116,12,9.2,NA,NA,4,4,,,,,,,,,,,,,6,,,52;54;55;56;57;58;59;60;61;62;63,
ChassisMaterials,Independent,117,13,4.6,NA,NA,2,2,,,,,,,,,,,,,6,,,,
Engine,Gibson,118,13,8.2,7,7,NA,NA,,,,,,,,,,,30,70,7,,,52;53,
Engine,Peugeot,119,16,6,5,5,NA,NA,,,,,,,,,,,10,50,7,,,52;54;55;56;57;58;59;60;61;62;63,
Engine,Independent,120,9,3.5,3,3,NA,NA,,,,,,,,,,,0,30,7,,,,
ECU,Michelin,121,3,5.5,NA,NA,8,8,,,,,,,,,,,,,7,,,,
ECU,Dunlop,122,9,5.5,NA,NA,10,6,,,,,,,,,,,,,7,,,,
ECU,Bridgestone,123,2,4,NA,NA,6,4,,,,,,,,,,,,,7,,,,
Fuel,Shell,124,2,6,6.5,7.5,NA,NA,,,,,,,,,,,,,7,,,,
Fuel,Total,125,6,5.5,6.5,6.5,NA,NA,,,,,,,,,,,,,7,,,,
Fuel,Motul,126,10,2.2,3,3,NA,NA,,,,,,,,,,,,,7,,,,
ChassisMaterials,Oreca,127,15,8,NA,NA,7,7,,,,,,,,,,,,,7,,,52;53,
ChassisMaterials,Peugeot,128,12,5.5,NA,NA,5,5,,,,,,,,,,,,,7,,,52;54;55;56;57;58;59;60;61;62;63,
ChassisMaterials,Independent,129,13,3.5,NA,NA,3,3,,,,,,,,,,,,,7,,,52;53,
ERS,Flywheel,130,1,3,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,6,,,,PSG_10013542
ERS,Battery,131,2,3,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,6,,,,PSG_10013543
ERS,Supercapacitor,132,3,3,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,6,,,,PSG_10013544
ERS,Flywheel,133,1,2,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,7,,,,PSG_10013542
ERS,Battery,134,2,2,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,7,,,,PSG_10013543
ERS,Supercapacitor,135,3,2,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,7,,,,PSG_10013544
ERS,Flywheel,136,1,3,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,1,,,,PSG_10013542
ERS,Battery,137,2,3,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,1,,,,PSG_10013543
ERS,Supercapacitor,138,3,3,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,1,,,,PSG_10013544
ERS,Flywheel,139,1,2,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,2,,,,PSG_10013542
ERS,Battery,140,2,2,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,2,,,,PSG_10013543
ERS,Supercapacitor,141,3,2,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,2,,,,PSG_10013544
ERS,Flywheel,142,1,1,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,3,,,,PSG_10013542
ERS,Battery,143,2,1,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,3,,,,PSG_10013543
ERS,Supercapacitor,144,3,1,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,3,,,,PSG_10013544
ERS,Flywheel,145,1,3,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,4,,,,PSG_10013542
ERS,Battery,146,2,3,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,4,,,,PSG_10013543
ERS,Supercapacitor,147,3,3,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,4,,,,PSG_10013544
ERS,Flywheel,148,1,2,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,5,,,,PSG_10013542
ERS,Battery,149,2,2,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,5,,,,PSG_10013543
ERS,Supercapacitor,150,3,2,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,5,,,,PSG_10013544
Engine,Mercedes B,151,1,5,4,1,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = 0,,30,60,1,,,3;5;8;9;10;11;12;13;14;15;18;19;20;21;22;23;24;25;26;27;28;29;30,
Engine,Ferrari B,152,2,5,4,2,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .26,,30,60,1,,,2;3;4;6;7;8;9;13;14;16;17;18;22;23;27;28;31,
Engine,Honda B,154,4,5,3,6,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .15,,20,60,1,,,2;5;6;7;9;10;12;13;14;15;16;24;31,
Engine,Independent,159,9,1,1,1,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .3,,10,20,1,,,,
ECU,Pirelli,161,1,5,NA,NA,3,1,,,,,,,,,,NoseHeight = 0; RearPackage = .15,,,1,,,,
ECU,Pirelli,162,1,2,NA,NA,1,1,,,,,,,,,,NoseHeight = .05; RearPackage = .15,,,1,,,,
ECU,Pirelli,163,1,1,NA,NA,0,3,,,,,,,,,,NoseHeight = .15; RearPackage = .25,,,1,,,,
Fuel,Petronas,166,1,4,2,1,NA,NA,,,,,,,,,,NoseHeight = .05; RearPackage = 0,,,1,,,,
Fuel,Shell,167,2,2,0,3,NA,NA,,,,,,,,,,NoseHeight = 0; RearPackage = .1,,,1,,,,
Fuel,BP,168,5,3,1,1,NA,NA,,,,,,,,,,NoseHeight = .25; RearPackage = .25,,,1,,,,
ChassisMaterials,Independent,171,5,3,NA,NA,1.5,1.5,,,,,,,,,,NoseHeight = .15; RearPackage = .15,,,1,,,,
ChassisMaterials,Independent,172,5,3,NA,NA,2,2,,,,,,,,,,NoseHeight = .075; RearPackage = .075,,,1,,,,
Engine,Mechachrome,176,6,1,1,1,NA,NA,,,,,,,,,,,2,10,2,,,,
ECU,Pirelli,177,1,1,NA,NA,1,1,,,,,,,,,,,,,2,,,,
Fuel,Total,178,6,2,2,2,NA,NA,,,,,,,,,,,,,2,,,,
ChassisMaterials,Dallara,179,6,3,NA,NA,0,4,,,,,,,,,,,,,2,,,,
Engine,Mechachrome,180,6,3,1,2,NA,NA,,,,,,,,,,,2,10,3,,,,
ECU,Pirelli,181,1,1,NA,NA,2,2,,,,,,,,,,,,,3,,,,
Fuel,Shell,182,2,1,1,2.5,NA,NA,,,,,,,,,,,,,3,,,,
ChassisMaterials,Dallara,183,6,0.5,NA,NA,1,1,,,,,,,,,,,,,3,,,,
Engine,Toyota,184,8,1,0,0,NA,NA,,,,,,,,,,,0,5,4,,,,
ECU,Firestone,185,6,1,NA,NA,2,1,,,,,,,,,,,,,4,,,,
Fuel,Shell,186,2,1,1,1,NA,NA,,,,,,,,,,,,,4,,,,
ChassisMaterials,Dallara,187,6,1,NA,NA,1,1,,,,,,,,,,,,,4,,,,
Engine,Independent,188,9,1,0.5,0.5,NA,NA,,,,,,,,,,,0,5,5,,,,
ECU,Cooper,189,10,1,NA,NA,2,1,,,,,,,,,,,,,5,,,,
Fuel,Lucas Oil,190,8,1,1,1,NA,NA,,,,,,,,,,,,,5,,,,
ChassisMaterials,Dallara,191,6,1,NA,NA,1,1,,,,,,,,,,,,,5,,,,
Engine,Independent,192,9,2,1,1,NA,NA,,,,,,,,,,,5,10,6,,,,
ECU,Michelin,193,3,2,NA,NA,2,2,,,,,,,,,,,,,6,,,,
Fuel,Motul,194,10,1,1,1,NA,NA,,,,,,,,,,,,,6,,,,
ChassisMaterials,Independent,195,13,1,NA,NA,1,1,,,,,,,,,,,,,6,,,,
Engine,Independent,196,9,1,1,1,NA,NA,,,,,,,,,,,0,10,7,,,,
ECU,Michelin,197,3,1,NA,NA,2,2,,,,,,,,,,,,,7,,,,
Fuel,Total,198,6,1,1.5,1.5,NA,NA,,,,,,,,,,,,,7,,,,
ChassisMaterials,Independent,199,13,1,NA,NA,1,1,,,,,,,,,,,,,7,,,,
